Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),APR26 progress (%),Sector
1126,618226,Rehabilitation and upgradation to 2 lane with paved shoulder from existing chainage Km 30.053 to Km 49.150 design chainage Km 30.000 to Km 46.450 including Kandi Tunnel under 31 BRTF on Akhnoor-Poonch Road NH-144A Under Project Sampark in the UT of Jammu & Kashmir EPC modePackage-I Job no NH-144A-J&K-2020-21-83.,MoRTH,Jammu and Kashmir,07/2020,11/2022,11/2024,06/2026,272.49,272.49,157.74,94.0,Aviation & Aviation Infrastructure
1127,618394,Up-gradation to 2-lane with Paved Shoulder from Km 12.850 to Km20.300 of 7.450Km length on Goha-Khellani section and a link road to Goha village of 2.016 km on NH- 244 in UT of Jammu and Kashmir on EPC Mode Pkg-1,NHIDCL,Jammu and Kashmir,07/2020,10/2020,04/2022,10/2026,228.39,225.37,163.81,94.26,Aviation & Aviation Infrastructure
1128,618395,Construction & Upgradation to 2-lane with paved shoulder from Design Ch. Km 51700 at Premnagar km 66315 to Km 66535 New Thatri at Start of Km 83rd Tunnel Km 82665 of 14.835 Km design length on Chenani-Sudhmahadev-Goha Khellani- Kishtwar-Vailoo Donipawa-Ashajipora section of NH-244 in the UT of J&K on EPC Mode under NHO-Gen Pkg - 2,NHIDCL,Jammu and Kashmir,03/2021,08/2021,02/2023,10/2026,512.43,512.43,155.69,53.49,Aviation & Aviation Infrastructure
1129,618396,Construction & Upgradation to 2 lane with paved shoulder from Design Km. 31.449 Khellani Ex. Km 44.946 to Km 51.700 Prem Nagar Ex. Km 68617 of 20.251 Km length on Khellani - Kishtwar - Chattroo section of NH-244 in the UT of J&K on EPC Mode under NHO-Gen PKG- 1,NHIDCL,Jammu and Kashmir,02/2021,03/2021,08/2022,10/2024,486.45,486.45,0.0,0.0,Aviation & Aviation Infrastructure
1130,618397,Widening and Up-gradation to 2-Lane with Paved Shoulder of configuration and geometric improvement from Km 0.000 to Km 16.990 on Chenani Sudhmahadev section of NH-244 in UT of Jammu and Kashmir to be executed on EPC basis,NHIDCL,Jammu and Kashmir,03/2018,11/2018,11/2020,02/2022,255.9,255.9,0.0,0.0,Aviation & Aviation Infrastructure
1131,618398,Up-gradation to 2-lane with Paved Shoulder from Km 20.300 to Km 29.030 of 8.730 Km length on Goha-Khellani section on NH-244 in UT of Jammu and Kashmir on EPC Mode Package II,NHIDCL,Jammu and Kashmir,07/2020,10/2020,04/2022,03/2026,210.79,210.79,174.92,96.95,Aviation & Aviation Infrastructure
1132,618399,Construction of Kishtwar bypass with 2 lane with paved shoulder from Design Km. 80.675 Dulhasti to km 95.550 Bandarkoot of 14.88 km & a link road to Kishtwar town from 0000 to 1.871 of length1.871 Km on Khellani - Kishtwar - Chattroo section in UT of Jammu and Kashmir on EPC Mode Pkg-4,NHIDCL,Jammu and Kashmir,03/2021,08/2021,08/2023,06/2027,859.67,859.67,308.95,50.05,Aviation & Aviation Infrastructure
1133,618400,Construction & Upgradation to 2-lane with paved shoulder from Design Km 67.805 at the end of Km 83rd Tunnel near Dhrabshalla Ex. Km 83905 to Km 80.675 start of Kishtwar Bypass - Dulhasti Ex. Km 970751 of 12.870 Km length on chenani- Sudhmahadev-Goha Khellani-Kishtwar-vailoo-Donipawa-Ashajipora seition of NH-244 in the UT of J&K on EPC Mode under NHO-Gen Pkg-3,NHIDCL,Jammu and Kashmir,03/2021,07/2021,12/2022,08/2025,398.51,398.51,99.35,98.55,Aviation & Aviation Infrastructure
1134,618406,Up-gradation to 4-lane with Paved Shoulder of Jammu-Akhnoor road section of NH- 144A from Ganesh Vihar Km 6.000 to Khati Chowk Km 26.350 in UT of Jammu and Kashmir on EPC basis Pkg-3A,NHIDCL,Jammu and Kashmir,03/2018,07/2019,07/2021,05/2022,322.49,322.49,0.0,0.0,Aviation & Aviation Infrastructure
1135,618407,Jammu-Akhnoor Road Pkg-I,NHIDCL,Jammu and Kashmir,03/2018,01/2023,01/2025,06/2026,245.3,245.3,82.06,68.07,Aviation & Aviation Infrastructure
1136,618494,Delhi-Amritsar-Katra Expressway Phase-II Pkg-XV [Junction with Hiranagar Road near village Gurha Baildaran to Junction with Jammu Ring Road NH-244A near Jakh village from Km 468100 to Km 503250],National Highways Authority of India [NHAI],Jammu and Kashmir,10/2021,09/2022,09/2024,12/2026,2714.95,3716.56,1653.54,88.87,Aviation & Aviation Infrastructure
1137,618495,4/6L Access Control Expressway from Design Chainage Km 515.000 to 528.300 Kunjwani to Sidhra Section of NH-44 and from Design Chainage Km 550.900 to Km 566.520 Domel to Katra Section Phase II-Package XVII,National Highways Authority of India [NHAI],Jammu and Kashmir,06/2022,06/2023,06/2025,03/2027,2894.74,2894.74,810.99,62.0,Aviation & Aviation Infrastructure
1138,618496,Delhi-Amritsar-Katra Expressway Phase-II Pkg-XVI Existing Jakh Vijaypur-Kunjwani section of NH-44 including spur Connectivity to Jammu Airport NH-144A [Km 503500 to km 514500],National Highways Authority of India [NHAI],Jammu and Kashmir,09/2021,09/2022,09/2024,09/2026,1821.72,2522.56,1174.58,94.14,Aviation & Aviation Infrastructure
1139,618497,Delhi Amritsar Katra Expressway Phase-II Pkg XVIII Development and Upgradation of Four lane Access Control Expressway from Design Chainage KM 530.00 to KM 545.300 Sidhra to Domel Section of NH-44,National Highways Authority of India [NHAI],Jammu and Kashmir,12/2022,11/2023,11/2025,03/2027,975.38,975.38,564.21,62.41,Aviation & Aviation Infrastructure
1140,618541,4L Ring road/bypass around Srinagar city from km 0.000 to km 42.100 Phase-I,National Highways Authority of India [NHAI],Jammu and Kashmir,03/2021,08/2021,02/2024,07/2026,2919.96,2604.76,1770.97,87.0,Aviation & Aviation Infrastructure
1141,618543,4L of twin tube tunnel configuration including approaches from Marog to Digdol from Km.154.210 to Km.158.650 North Bound and from Km.155.940 to Km.160.260 South Bound of Ramban to Banihal Pkg-I of Old NH-1A New NH-44,National Highways Authority of India [NHAI],Jammu and Kashmir,07/2021,08/2022,08/2025,12/2027,1912.17,1034.3,357.42,27.0,Aviation & Aviation Infrastructure
1142,618544,4L twin tube tunnel including approaches from Digdol to Khuni Nallah North Bound connecting with existing major bridge on NB and South Bound connecting with Tunnel T4 Single tube tunnel of Ramban to Banihal Pkg-II of Old NH-1A New NH-44,National Highways Authority of India [NHAI],Jammu and Kashmir,07/2021,02/2022,06/2024,08/2026,1401.87,1020.99,989.45,87.1,Aviation & Aviation Infrastructure
1143,618545,4L of Km.165.092 to Km.171.855 North Bound and from Km.166.895 to Km.173.638 South Bound excl. certain reaches of North Bound and South Bound of Ramban to Banihal Pkg-III of Old NH-1A New NH-44,National Highways Authority of India [NHAI],Jammu and Kashmir,07/2021,02/2022,08/2024,06/2027,614.48,444.76,257.32,42.8,Aviation & Aviation Infrastructure
1144,618547,2L NH-1 from km 8.660 to km 33.775 Sumbal to Wayul to 4L dual carriageway NH standard as part of Srinagar Ring Road PhaseII [Design Ch. 41.907 to Ch. 66.609],National Highways Authority of India [NHAI],Jammu and Kashmir,11/2022,12/2023,06/2026,04/2027,961.0,643.64,412.37,48.8,Aviation & Aviation Infrastructure
1145,618549,Construction of twin tube tunnels on Jammu Kashmir Ring Road NH-244A Between Design Ch. 50600 to 51700 and design Ch. 53535 to 55700 on EPC mode under residual NHDP component of Bharatmala Pariyojna,National Highways Authority of India [NHAI],Jammu and Kashmir,11/2022,06/2023,06/2025,12/2026,242.65,731.59,655.27,83.87,Aviation & Aviation Infrastructure
1146,618550,Corridor Efficiency Improvement including removal of black spots in Lakhanpur - Samba section of NH-44 from Chainage Km. 16.300 to Km. 74.100,National Highways Authority of India [NHAI],Jammu and Kashmir,06/2022,12/2022,06/2024,09/2026,855.74,215.68,197.46,74.63,Aviation & Aviation Infrastructure
1147,618967,Upgradation and Strengthening of Chenani to Nashri Section via Patnitop of NH244 from Km 0.000 to Km 39.100,National Highways Authority of India [NHAI],Jammu and Kashmir,03/2024,08/2024,08/2026,08/2026,295.06,295.06,175.81,63.8,Aviation & Aviation Infrastructure
1148,619038,Construction/upgradation to 2-lane with paved shoulder from Design Km 95.55 Bandarkoot to Km. 111.06 Chattroo of 15.52 Km length on Khellani-Kishtwar-Chattroo section on NH-244 in UT of Jammu and Kashmir on EPC Mode Pkg-5,NHIDCL,Jammu and Kashmir,03/2021,08/2021,02/2023,03/2026,497.09,497.09,240.1,99.97,Aviation & Aviation Infrastructure
1149,618060,Widening and Strengthening of existing paveemnt to two lane with paved shoulders from km 116.00 to km 176.355 of NH-75E in the State of Jharkhand on EPC mode.,MoRTH,Jharkhand,01/2022,01/2023,07/2024,04/2026,315.21,315.21,129.54,87.0,Aviation & Aviation Infrastructure
1150,618083,Construction of byepass around Lohardaga town of NH-143A in the Sate of Jharkhand under EPC mode.,MoRTH,Jharkhand,02/2022,01/2024,01/2026,09/2026,458.78,458.78,0.0,3.0,Aviation & Aviation Infrastructure
1151,618084,Widening to 2-lane with paved shoulder from km 0.00 to 44.00 Kuru-Ghaghra section of NH-143A including re-construction of culverts and bridges.,MoRTH,Jharkhand,02/2020,08/2021,08/2023,03/2026,153.01,133.67,84.74,93.0,Aviation & Aviation Infrastructure
1152,618123,Widening and Strengthening/Reconstruction to Two Lane with Paved Shoulder/ Two Lane with paved shoulders with service road from km 0000 to km 42250 excluding design Ch. 03220 to 04200 & 28350 to 29060 of NH-320G in the state of Jharkhand under EPC mode,MoRTH,Jharkhand,03/2022,08/2023,08/2025,-,423.18,423.18,4.11,0.0,Aviation & Aviation Infrastructure
1153,618127,Construction of 2- Lane with paved shoulder from km 56.45 Dharampur More to 93.050 Pakur of NH-333A in the State of Jharkhand on EPC mode,MoRTH,Jharkhand,03/2023,11/2025,05/2027,05/2027,255.73,255.73,0.0,8.5,Aviation & Aviation Infrastructure
1154,618242,Widening and Reconstruction to 4-lane/4-lane with service road including structures from Pokharia More at Km 47.600 Ex. Km 50.230 to Govindpur at km 62.949 Ex. Km 65.325 of Nh-419 in the State of Jharkhand on EPC mode.,MoRTH,Jharkhand,05/2022,01/2024,01/2026,06/2026,300.46,300.46,76.93,46.22,Aviation & Aviation Infrastructure
1155,618535,Construction of Six lane elevated flyover including reconstruction/rehabilitation of existing pavement from Km 406100 to Km 411150 Length 5.05 Km at Gobindpur area in the Barwa Adda Panagarh section of NH-19 from Km.398.240 to Km.521.120 including Panagarh Bypass in the State of Jharkhand on EPC Mode.,National Highways Authority of India [NHAI],Jharkhand,01/2025,09/2025,03/2028,03/2028,687.77,442.52,33.97,11.8,Aviation & Aviation Infrastructure
1156,618641,4 Lane of CG/JH Border-Gumla from km 0.000 to km 32.370 of NH-43 in the State of Jhrkhand,National Highways Authority of India [NHAI],Jharkhand,08/2024,02/2026,02/2028,02/2028,1325.8,1325.8,13.83,1.0,Aviation & Aviation Infrastructure
1157,618642,4L of Palma to Gumla from km. 26.00 to km. 89.170 of NH-23,National Highways Authority of India [NHAI],Jharkhand,03/2020,04/2022,03/2024,05/2026,1882.93,1895.75,891.94,98.96,Aviation & Aviation Infrastructure
1158,618644,4L of Ormanjhi-Gola section from Km 81.450 to Km 53.600 of NH- 320BPKG-II,National Highways Authority of India [NHAI],Jharkhand,02/2022,06/2023,06/2025,07/2026,1214.93,1462.19,837.8,86.57,Aviation & Aviation Infrastructure
1159,618645,4L of Gola-BokaroJaina More section from Km 53.600 to Km 21.110 of NH-320PKG-1,National Highways Authority of India [NHAI],Jharkhand,02/2022,06/2023,06/2025,05/2026,1007.97,1030.64,437.79,78.1,Aviation & Aviation Infrastructure
1160,618736,4L Elevated corridor of Kalimandir-Dimna Chowk-Baliguma Jamshedpur Section of NH-33 New NH-18 from km 241940 to km 251961 Length 10.021 km,National Highways Authority of India [NHAI],Jharkhand,03/2024,09/2024,03/2027,03/2027,936.26,832.2,281.39,43.21,Aviation & Aviation Infrastructure
1161,618737,Grade separated Interchanges at Km. 113.730 junction with Ranchi Hazaribagh Road & Km. 139.225 junction with Ranchi Jamshedpur road on 4L Ranchi Bypass of NH-33,National Highways Authority of India [NHAI],Jharkhand,01/2025,12/2025,12/2027,12/2027,303.53,5.58,3.16,0.0,Aviation & Aviation Infrastructure
1162,618829,4L from km 196.87 Sankha to km 219.6 Khajuri on NH-75 [Rehla / Garhwa Bypass],National Highways Authority of India [NHAI],Jharkhand,09/2020,10/2021,10/2023,-,1129.48,1129.48,527.11,93.45,Aviation & Aviation Infrastructure
1163,618830,4L from Km 147.450 Bhogu to Km 196.870 Sankha on NH-75 Sec-III,National Highways Authority of India [NHAI],Jharkhand,10/2022,11/2023,11/2025,06/2026,1517.87,1652.09,991.9,76.95,Aviation & Aviation Infrastructure
1164,618831,4L from Km 95.400 Udaipura to Km 147.450 Bhogu on NH-75 Sec-II,National Highways Authority of India [NHAI],Jharkhand,03/2023,10/2024,10/2026,03/2027,1436.8,1301.54,200.87,26.6,Aviation & Aviation Infrastructure
1165,618832,4L from Km 55.00 Kuru to Km 95.400 Udaipura on NH-75 Sec-I,National Highways Authority of India [NHAI],Jharkhand,02/2024,01/2026,01/2028,01/2028,1274.82,1274.82,41.83,5.0,Aviation & Aviation Infrastructure
1166,618863,Barhi-Koderma Section of NH31 km 0.00 - km 27.5,National Highways Authority of India [NHAI],Jharkhand,02/2017,11/2019,08/2024,05/2026,662.44,826.59,478.57,98.5,Aviation & Aviation Infrastructure
1167,618946,4L of Mehgama - Hansdiha from km. 41.900 to km. 93.000 of NH -133A Pkg-II,National Highways Authority of India [NHAI],Jharkhand,03/2022,05/2023,05/2025,05/2026,1479.72,1568.18,878.2,99.5,Aviation & Aviation Infrastructure
1168,618947,4L of NH-80 from km 215.00 to km 260.00 Mirza Chauki to Farkka Pkg-I,National Highways Authority of India [NHAI],Jharkhand,03/2018,12/2021,07/2023,07/2026,1504.8,1508.21,804.61,91.83,Aviation & Aviation Infrastructure
1169,618949,4L of Basukinath- Deoghar Section of NH-114A,National Highways Authority of India [NHAI],Jharkhand,09/2022,12/2023,12/2025,07/2026,1444.94,1553.76,648.92,86.44,Aviation & Aviation Infrastructure
1170,618950,Construction of Bypass to NH-114A Connecting NH-333 and NH-133 Deoghar Bypass from design km 0.000 to design Km 49.000,National Highways Authority of India [NHAI],Jharkhand,11/2024,01/2026,01/2028,01/2028,1565.47,1565.47,48.97,5.02,Aviation & Aviation Infrastructure
1171,619005,Construction of bypass around Chatra Town on NH-22 old NH-99 in the state of Jharkhand under EPC Mode,MoRTH,Jharkhand,03/2023,01/2026,01/2028,01/2026,235.42,199.2,0.0,12.0,Aviation & Aviation Infrastructure
1172,617935,Construction of Elevated corridor from Km. 135.650 to 136.300 on 63 from Km. 249 to Km. 250.050 on old NH-4 and from Km. 192.910 to Km. 193.350 on NH-218 from decongestion of traffic in Ranichennamma circle in Hubli city in the state of Karnataka on EPC basis,MoRTH,Karnataka,08/2020,06/2021,06/2024,11/2026,298.0,349.49,167.23,52.0,Aviation & Aviation Infrastructure
1173,617950,Construction of Srinivasapura Bypass from existing Km 453.890 Design Ch. 0000 to existing Km 461.450 Design Ch 10080 on NH-69 in the State of Karnataka Under NH O in EPC mode under Annual Plan 2022-23 NH-69-KNT-2022-23-966 dated 22.11.2022,MoRTH,Karnataka,11/2022,07/2025,01/2027,01/2027,204.42,204.42,0.0,0.0,Aviation & Aviation Infrastructure
1174,617951,Construction of Chintamani Bypass from Design Ch.0000 Existing Ch.428880 to Design Ch.15400 Existing Ch.444010 on NH-69 in the State of Karnataka in EPC Mode under NHO Annual Plan 2022-23. NH-69-KNT-2022-23-989 dated 24.03.2023,MoRTH,Karnataka,03/2023,01/2026,07/2027,07/2027,314.55,314.55,0.0,0.0,Aviation & Aviation Infrastructure
1175,617954,Balance work of Rehabilitation and upgrading to 2lane/2lane with paved shoulder configuration and strengthening from from Km 343.80 to 400.33 of Gowribidanur-Chik Ballapur section in the state of Karnataka Under Annual Plan 2021-22 under EPC Mode.-952,MoRTH,Karnataka,03/2022,02/2023,02/2025,04/2026,398.48,398.48,211.59,93.25,Aviation & Aviation Infrastructure
1176,617955,Widening to two lane with paved Shoulders from Km 40.00 to Km 75.00 Existing chainages of Mangalore - Tumkur section of NH-73 in the State of Karnataka on EPC Mode under Annual Plan 2021-22 Job No NH-73-KNT-2021-22-945,MoRTH,Karnataka,03/2022,03/2023,03/2025,12/2026,718.52,718.52,308.84,82.0,Aviation & Aviation Infrastructure
1177,617989,Construction of Major Bridge at Km.180.865 across river Krishna on NH 167 Hagari Jadcherla section,MoRTH,Karnataka,03/2019,05/2019,11/2021,03/2026,157.32,187.61,103.33,68.0,Aviation & Aviation Infrastructure
1178,617998,Widening to existing 2 lane with paved Shoulder to 4 Lane with paved shoulder from design Km 153.00 to 168.27 Mala Gate to Karkala of NH -169 on Shimoga - Mangalore section in the state of Karnataka on EPC mode under Annula Plan 2021-22 Job No. NH-169-KNT-2021-22-949,MoRTH,Karnataka,03/2022,02/2023,02/2025,03/2026,177.94,177.94,108.93,75.0,Aviation & Aviation Infrastructure
1179,617999,Widening to 2LPS from Km 67 to Km 115 on Kadur-Hosadurga section NH 173 in the state of Karnataka NH-173-KNT-2022-23-980 dated 13.03.2023,MoRTH,Karnataka,03/2023,09/2024,04/2026,10/2026,471.62,471.62,80.08,64.33,Aviation & Aviation Infrastructure
1180,618000,Widening to 2-Lane with Paved Shoulders from Km 116.800 to 149.070Design Changes on Hosadurga - Holalkere Section of NH-173 in the State of Karnataka on EPC mode under Annual Plan 2021-22 Job no. NH-173-KNT-2021-22-946,MoRTH,Karnataka,03/2022,08/2022,02/2024,04/2026,170.34,147.39,106.88,92.65,Aviation & Aviation Infrastructure
1181,618027,Widening to 2LPS from Km 71.00 to 104.00 Existing chainages Sarjapur to Pattadkallu on Bhanapur to Gaddanakeri section NH-367 in the State of Karnataka under NHO on EPC mode under Annual Plan 2022-23 NH-367-KNT-2022-23-972 dated 08.02.2023,MoRTH,Karnataka,02/2023,03/2024,03/2026,03/2026,445.62,445.62,0.0,65.0,Aviation & Aviation Infrastructure
1182,618028,Construction of Bypass at Kuknoor Yelburga Gajendragada of Bhanapur Gaddanakeri section of NH-367 in the State of Karnataka under NHO on EPC mode under Annual Plan 2022-23. NH-367-KNT-2022-23-973 dated 08.02.2023,MoRTH,Karnataka,02/2023,06/2025,06/2027,06/2027,333.96,333.96,40.61,20.0,Aviation & Aviation Infrastructure
1183,618029,Widening to 4 lane from Km. 133.00 to 158.04 design Chainage Km. 130.88 to 155.145 Shirur Cross to Gaddankeri of NH-367 in the State of Karnataka on EPC mode. Job No. NH-367-KNT-2021-22-930,MoRTH,Karnataka,01/2022,01/2023,01/2025,01/2027,350.69,312.06,191.38,78.08,Aviation & Aviation Infrastructure
1184,618030,Widening to 2 lane with paved shoulder from Km. 103.225 Pattadakal to Km. 133.00 Shirur cross of NH-367 in the state of Karnataka on EPC Mode.Job No. NH-367-KNT- 2021-22-934,MoRTH,Karnataka,02/2022,11/2022,05/2024,12/2026,264.14,264.14,3.58,0.0,Aviation & Aviation Infrastructure
1185,618031,Balance work of Construction of Two/Four lane with paved shoulder from Km 422.000 to 523.600 Chitradurga to Shivamogga of NH-13 in the state of Kanataka on EPC mode.,MoRTH,Karnataka,01/2021,12/2021,12/2025,08/2026,516.96,516.96,105.08,75.0,Aviation & Aviation Infrastructure
1186,618086,Widening to Two Lane with Paved Shoulders from KB Cross to Chunchanahalli ie. Design Ch. 485240 Km Existing Km 494.000 to Design Ch. 523393 Km Existing km 533.152 & From Design Ch. 530393 Existing Km 540.175 to Design Ch. 534476 Existing Km 544.200 at Nelligere of NH-150A on EPC mode under Annual Plan 2022-23 NH-150A-KNT-2022-23-977 dated 08.03.2023,MoRTH,Karnataka,03/2023,07/2025,01/2027,01/2027,617.28,617.28,4.47,40.0,Aviation & Aviation Infrastructure
1187,618087,Widening to intermediate/two lane to 2 lane with paved shoulder from Existing chanages Km 112.750 to 142.00 Liingasur to Mudabal cross & from Km. 147.070 to Km. 149.070 Maski city limit of Jewargi Chamrajnagar setion of NH-150A in the state of Karnataka on EPC mode. Job No. NH-150A-KNT-2021-22-951,MoRTH,Karnataka,03/2022,01/2023,07/2024,05/2026,255.88,255.88,179.66,93.0,Aviation & Aviation Infrastructure
1188,618095,Widening to Two Lane with Paved Shoulders from Km 0.00 Design Chainage 0.00 to Km 23.338 Design Chainage 23310 of NH-166E MH/KNT Border- Kanamadi- Bijjargi- Tikota section in the state of Karnataka in EPC Mode under Annual plan 2022-23 NH- 166E-KNT-2022-23-974,MoRTH,Karnataka,02/2023,09/2024,03/2026,03/2026,196.05,196.05,0.0,30.0,Aviation & Aviation Infrastructure
1189,618109,Widening to 4 lane from Km 51.60 to 76.20 Hebri to Parkala and from Km 85.20 to 88.90 Karavali junction to Malpe of Thirthahalli-Udupi-Malpe Section of NH-169A in the State of Karnataka on EPC Mode under Annual plan 2021-22 Job No. NH-169A- KNT-2021-22-927,MoRTH,Karnataka,01/2022,12/2022,12/2024,05/2026,355.72,355.72,184.79,76.86,Aviation & Aviation Infrastructure
1190,618144,Construction of Major Bridge Across Sharavathi Backwaters and approches between Ambargodu and Kalasavalli Near Sigandhur in Sagar Taluk on NH 369E in the State of Karnataka on EPC mode.Job No. NH-369E-KNT-2018-19-895 dated 06.03.2019.,MoRTH,Karnataka,03/2019,12/2019,12/2022,-,423.15,423.15,0.0,0.0,Aviation & Aviation Infrastructure
1191,618147,Widening to 2 Lane with Paved Shoulders from design Km 103.200 Existing Km 103.200 to design Km 116.700 Existing Km 118.470 on AP/KNT Border to Sira Section of NH-544E in the State of Karnatakaon EPC mode under Annual plan 2022- 23,MoRTH,Karnataka,01/2023,03/2024,09/2025,08/2026,166.58,166.58,35.33,40.0,Aviation & Aviation Infrastructure
1192,618149,Widening to two lane with paved shoulders from Km 0.00 to 102.310 Design Chainage of NH-548B Murrum-Maharashtra Border in the State of Karnataka,MoRTH,Karnataka,02/2023,01/2025,01/2027,01/2027,957.09,957.09,248.13,0.0,Aviation & Aviation Infrastructure
1193,618184,Construction of 2 Lane with paved shoulder from km 55.6 to km 90.7 existing chainages of NH-766C complete Realignment of 13.76 km with 2 major Bridges across Sharavathi Backwaters on EPC mode under Annual Plan 2022-23 in the state of Karnataka NH-766C-KNT-2022-23 dated 14.10.2022,MoRTH,Karnataka,01/2023,02/2024,02/2026,12/2027,313.56,313.56,0.0,46.52,Aviation & Aviation Infrastructure
1194,618185,Widening to 2LPS from Km 0.000 to 37.850 Except Ex. Km 24.45 to 27.20 of NH-766c Byndoor-Ranebennur Section in the state of Karnataka on EPC Mode under Annual Plan 2022-23 NH-766C-KNT-2022-23-969 dated 30.12.2022,MoRTH,Karnataka,12/2022,08/2025,08/2027,08/2027,394.95,394.95,0.0,0.0,Aviation & Aviation Infrastructure
1195,618189,Widening to Two Lane with Paved Shoulder of NH-73 New Spur Road Ujire - Dharmasthala - Periyashanthi in the State of Karnataka under on HAM under NHO Annual Plan 2023-24Job No NH-73Spur-KNT-2023-24-996,MoRTH,Karnataka,01/2024,11/2025,11/2027,-,613.65,613.65,0.0,0.0,Aviation & Aviation Infrastructure
1196,618517,4/6L of Bangalore - Pune Section of bypass connecting Dharwad - Hubli from km. 403.80 to km. 433.20,National Highways Authority of India [NHAI],Karnataka,12/2021,03/2023,09/2025,11/2026,1135.39,763.36,732.44,82.89,Aviation & Aviation Infrastructure
1197,618518,Davanagere - Haveri of NH-48 Old NH-4 from km. 260.00 to km. 338.923,National Highways Authority of India [NHAI],Karnataka,01/2017,01/2018,07/2020,09/2026,1454.67,1805.84,690.56,98.87,Aviation & Aviation Infrastructure
1198,618520,4L of km 0.00 to km 42.00 of Dobbaspet to Doddaballapura Bypass section of NH-648 old NH-207] [Bangalore Ring Road Pkg 1],National Highways Authority of India [NHAI],Karnataka,08/2020,04/2021,04/2023,06/2026,1438.74,1786.57,1051.89,99.2,Aviation & Aviation Infrastructure
1199,618630,6L of MH/KN Border Nimbal Village to KN/TS Border Singnodi Village from Km. 26.000 to Km. 97.000 in Gulbarga of NH-150C Pkg-II,National Highways Authority of India [NHAI],Karnataka,02/2022,12/2022,06/2025,11/2026,2355.56,1923.3,868.81,76.12,Aviation & Aviation Infrastructure
1200,618649,4 Lane with PS from Des. Ch 228.500 to Des. Ch. 273.400 of Belgaum-Hungund- Raichur Section of NH 748 A Package-6,National Highways Authority of India [NHAI],Karnataka,03/2023,11/2024,11/2026,06/2027,1246.15,1012.78,241.66,45.8,Aviation & Aviation Infrastructure
1201,618650,4 Lane with PS from Des. Ch 89.900 to Des. Ch. 136.100 of Belgaum-Hungund- Raichur Section of NH-748A Package-3,National Highways Authority of India [NHAI],Karnataka,01/2024,04/2025,04/2027,12/2027,1363.9,1219.62,115.76,19.25,Aviation & Aviation Infrastructure
1202,618651,4 Lane with PS from Des. Ch 43.800 to Des. Ch. 89.900 of Belgaum-Hungund- Raichur Section of NH-748A Package-2,National Highways Authority of India [NHAI],Karnataka,02/2024,03/2025,02/2027,06/2027,1427.88,1293.94,444.62,42.04,Aviation & Aviation Infrastructure
1203,618697,4LPS Access Controlled Highway of Bellary Bypass Balance work from Ch. 254750 to Ch. 266837 and construction of 4LPS from Ch. 277.690 to Ch. 278.690 at D. Hirehal Village Balance work of NH 150A of Bellary Byrapura Section,National Highways Authority of India [NHAI],Karnataka,02/2024,08/2024,07/2026,07/2027,626.01,284.05,97.26,35.5,Aviation & Aviation Infrastructure
1204,618698,Challakere to Hariyur section from km 358.500 to km 414.205 of NH-150 A,National Highways Authority of India [NHAI],Karnataka,03/2018,01/2021,01/2023,06/2025,1167.52,1873.58,843.6,99.5,Aviation & Aviation Infrastructure
1205,618702,4L of Addahole Near Gundya to Bantwal Cross section Pkg-02 from Design Km 270.270 to Design km 318.55 including flyover at Kalladka Town including approaches from Km. 311.57 to Km. 313.67 of NH-75 Old NH-48,National Highways Authority of India [NHAI],Karnataka,12/2020,11/2021,11/2023,05/2026,1660.19,1318.24,1358.81,94.21,Aviation & Aviation Infrastructure
1206,618706,Bangalore-Nidagatta Pkg. I,National Highways Authority of India [NHAI],Karnataka,02/2018,05/2019,11/2021,06/2026,3496.01,4087.42,604.66,99.19,Aviation & Aviation Infrastructure
1207,618707,Additional works under BM1 to ensure road safety under 6L of Bengaluru Mysuru Access control with close toll from Km.17.300 to Km.136.300 of NH-275,National Highways Authority of India [NHAI],Karnataka,11/2024,01/2026,01/2028,01/2028,738.37,738.37,14.27,5.63,Aviation & Aviation Infrastructure
1208,618709,4L of Left-Over Works of Hospet-Bellary -Karnataka/AP border from Km.280.080 Dec.Ch. to Km.375450Des.Ch. of NH-63 New-67,National Highways Authority of India [NHAI],Karnataka,03/2023,05/2023,05/2025,04/2028,1340.15,992.6,897.67,91.45,Aviation & Aviation Infrastructure
1209,618799,Belakeri Port to Kumta - Sirsi road from km 0.00 - km 4.265 of Belekeri Port Road Link Rd. and km 4.965 - km 60.00 of SH-69,National Highways Authority of India [NHAI],Karnataka,03/2018,12/2020,12/2022,06/2026,456.79,456.79,436.72,91.65,Aviation & Aviation Infrastructure
1210,618870,4L PS from near Hemmige Village Periyapatna - Hassan Road Jn. to near Hunsur - KR Nagar Jn section from Km. 144.900 to Km. 169.000 of NH-275 Pkg. III,National Highways Authority of India [NHAI],Karnataka,02/2023,04/2025,04/2027,07/2027,883.62,1726.65,61.05,20.1,Aviation & Aviation Infrastructure
