Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),APR26 progress (%),Sector
115,400185,GOPALJI KANIHA OCP [10 TO 30 M,MCL - CIL,Odisha,04/2022,04/2022,03/2030,-,8416.19,6107.87,1771.98,34.54,Aviation & Aviation Infrastructure
116,400187,INTEGRATED LAKHANPUR-BELPAHAR-,Mahanadi Coalfields Limited [MCL],Odisha,05/2018,05/2018,03/2027,-,2434.75,2434.75,2002.75,79.05,Aviation & Aviation Infrastructure
117,400392,BHARATPUR RE-ORGANIZATION OCP,Mahanadi Coalfields Limited [MCL],Odisha,11/2018,11/2018,03/2029,-,2838.86,2838.86,1711.38,52.0,Aviation & Aviation Infrastructure
118,615193,BASUNDHARA WEST EXTENSION OPEN,MCL - CIL,Odisha,05/2014,05/2014,03/2019,03/2029,479.15,479.15,281.57,67.58,Aviation & Aviation Infrastructure
119,615857,Naini Coal Mine,Singareni Collieries Company Limited [SCCL],Odisha,03/2020,03/2020,03/2026,-,494.3,494.3,491.33,80.0,Aviation & Aviation Infrastructure
120,616226,INTEGRATED KULDA GARJANBAHAL O,Mahanadi Coalfields Limited [MCL],Odisha,04/2023,04/2023,03/2033,-,3563.5,3563.5,672.78,6.18,Aviation & Aviation Infrastructure
121,616231,BHUBANESWARI EXPN OCP 50 MTY,MCL - CIL,Odisha,03/2024,03/2024,03/2033,-,5366.27,5366.27,477.39,32.47,Aviation & Aviation Infrastructure
122,616232,HINGULA II OC EXPN PH III 15 M,MCL - CIL,Odisha,11/2022,11/2022,03/2029,-,1561.85,1561.85,279.32,29.19,Aviation & Aviation Infrastructure
123,616233,BALABHADRA OCP,MCL - CIL,Odisha,04/2023,04/2023,03/2030,-,978.44,978.44,251.55,15.24,Aviation & Aviation Infrastructure
124,618982,Talabira II & III OCP - FMC,NLC India Limited [NLCIL],Odisha,10/2022,05/2023,06/2026,-,522.45,522.45,324.74,72.65,Aviation & Aviation Infrastructure
125,615818,Jawahar Khani Open Cast Mine,Singareni Collieries Company Limited [SCCL],Telangana,12/2021,12/2021,03/2025,03/2027,297.88,297.88,47.48,20.0,Aviation & Aviation Infrastructure
126,615858,Kalyanikhani Opencast Project,Singareni Collieries Company Limited [SCCL],Telangana,03/2016,05/2017,03/2026,-,384.32,384.32,291.01,75.0,Aviation & Aviation Infrastructure
127,615860,Godavarikhani Coal Mine - 5,Singareni Collieries Company Limited [SCCL],Telangana,07/2019,05/2019,03/2025,03/2026,607.04,607.04,200.06,71.0,Aviation & Aviation Infrastructure
128,615861,Indaram Opencast Project,Singareni Collieries Company Limited [SCCL],Telangana,08/2017,12/2022,03/2025,03/2026,424.81,424.81,406.81,81.0,Aviation & Aviation Infrastructure
129,615862,Goleti Opencast Mine,Singareni Collieries Company Limited [SCCL],Telangana,07/2021,08/2021,03/2026,-,345.6,345.6,111.15,32.0,Aviation & Aviation Infrastructure
130,615863,Venkatesh Khani Coal Mine,Singareni Collieries Company Limited [SCCL],Telangana,10/2020,06/2020,03/2026,-,484.5,484.5,477.14,97.0,Aviation & Aviation Infrastructure
131,615865,Kakatiyakhani OC - 2 Project,Singareni Collieries Company Limited [SCCL],Telangana,08/2017,09/2017,03/2025,03/2026,442.42,442.42,252.26,63.0,Aviation & Aviation Infrastructure
132,400173,MOHANPUR EXPANSION OC -PHASE I,Eastern Coal Fields Limited [ECL],West Bengal,11/2020,11/2020,03/2026,03/2030,888.99,888.99,142.55,31.52,Aviation & Aviation Infrastructure
133,400180,BONJEMEHARI EXPANSION OCP,Eastern Coal Fields Limited [ECL],West Bengal,08/2021,08/2021,03/2026,03/2030,570.11,570.11,88.78,17.1,Aviation & Aviation Infrastructure
134,400181,NAKRAKONDA KUMARDIH- B OCP,Eastern Coal Fields Limited [ECL],West Bengal,08/2018,08/2018,03/2029,-,502.68,502.67,83.8,27.52,Aviation & Aviation Infrastructure
135,400182,SIDULI [OC & UG],ECL - CIL,West Bengal,05/2018,05/2018,03/2027,03/2030,535.18,535.17,5.74,14.61,Aviation & Aviation Infrastructure
136,400186,TILABONI UG,Eastern Coal Fields Limited [ECL],West Bengal,01/2023,01/2023,03/2029,-,749.08,749.07,53.88,11.9,Aviation & Aviation Infrastructure
137,400312,JHANJRA EXPANSION UG,Eastern Coal Fields Limited [ECL],West Bengal,04/2020,04/2020,03/2029,-,1210.12,1210.12,619.6,45.48,Aviation & Aviation Infrastructure
138,400315,SONEPUR BAZARI EXPANSION OCP [,Eastern Coal Fields Limited [ECL],West Bengal,07/2021,07/2021,03/2029,-,5365.88,5365.88,623.88,18.47,Aviation & Aviation Infrastructure
139,611016,2.0 MTPA BHOJUDIH NLW WASHERY,Ministry of Coal,West Bengal,12/2015,03/2019,09/2020,05/2026,384.57,384.57,363.14,97.6,Aviation & Aviation Infrastructure
140,612816,ITAPARA OCP,Eastern Coal Fields Limited [ECL],West Bengal,12/2023,12/2023,03/2030,-,929.1,929.1,71.23,8.35,Aviation & Aviation Infrastructure
141,613793,SHYAMSUNDARPUR UG INCLUDING SA,Eastern Coal Fields Limited [ECL],West Bengal,04/2020,04/2020,03/2026,03/2028,483.65,483.65,77.79,16.79,Aviation & Aviation Infrastructure
