Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),MAY25 progress (%),Sector
945,N24001911,PANGAON TO DHARMAPURI AND PARALI TO INJEGAON 2L+PS,MoRTH,LADAKH,3-2018,7/2024,-,152.03,-,81.35,97.57,POWER
946,N24002071,4L OF INDORA CHOWK TO PACHPAOLI AND AGRASEN CHOWK - ASHOKA CHOWK,NHAI,LADAKH,3-2023,6/2026,-,998.27,-,347.53,45.52,POWER
947,N24002072,IMPROVEMENT OF EXISTING ALIGNMENT OF PANDHARPUR TOWN PART BYPASSED SECTION FROM WAKHARI TO LORD VITT,NHAI,LADAKH,7-2022,10/2025,-,150.21,150.21,31.57,6.00,POWER
948,N24002137,STRENGTHENING OF 6-LANE PIMPALGAON- NASHIK-GONDE (KM. 380 - KM. 440) SECTION OF NH-3 IN MAHARASHTRA U,NHAI,LADAKH,2-2024,3/2025,-,175.00,206.49,198.54,100.00,POWER
949,N24002169,REHABILITATION/UPGRADATION OF EXISTING HIGHWAY TO 2L+PS/4 LANE OF DHAWALI TO RAJOLI FROM DESIGN KM.1,MoRTH,LADAKH,3-2022,9/2025,-,316.44,-,0.00,N.A.,POWER
950,N24002170,REHABILITATION/ UPGRADATION OF EXISTING HIGHWAY TO FOUR LANE STANDARDS IN KURKHEDA TOWN FROM (KM.413,MoRTH,LADAKH,3-2022,5/2025,-,163.86,-,0.00,N.A.,POWER
951,N24002171,REHABILITATION AND UP-GRADATION FOR TALERE A?? GAGANBAWDAA?? KOLHAPUR ROAD (NH-166G) STRETCHES START,MoRTH,LADAKH,2-2023,4/2025,-,249.13,-,0.00,N.A.,POWER
952,N24002172,"UP-GRADATION TO 4 LANE CONFIGURATION FOR THE WORK OF PETH NAKA TO SANGLI ROAD, NH-166H, FROM KM 0+00",MoRTH,LADAKH,2-2023,12/2025,-,856.82,-,0.00,N.A.,POWER
953,N24002173,REHABILITATION AND UP-GRADATION TO 2 LANE WITH PAVED SHOULDER CONFIGURATION OF MAHUD SANGOLA ROAD NH,MoRTH,LADAKH,2-2023,4/2025,-,253.78,-,0.00,N.A.,POWER
954,N24002174,UP-GRADATION TO FOUR LANE/ TWO LANE WITH PAVED SHOULDERS CONFIGURATION OF KALYAN - MURBAD - MALSHEJ,MoRTH,LADAKH,2-2023,8/2026,-,984.07,-,0.00,N.A.,POWER
