Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),MAY25 progress (%),Sector
393,N18000402,PROVISION OF DYNAMIC REACTIVE COMPENSATION AT KHAVDA POOLING STATION 1 [KPS1] AND KHAVDA POOLING STA,PGCIL,GOA,11-2024,11/2026,-,501.00,-,0.00,1.00,COAL
394,N18000405,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM POTENTIAL RENEWABLE ENERGY ZONE IN KHAVDA AREA OF G,PGCIL,GOA,11-2024,5/2029,-,"24,819.00",-,"1,454.40",1.00,COAL
395,N18000406,600 MW SOLAR POWER PROJECT UNDER CPSU SCHEME,NHPC,GOA,4-2022,3/2026,-,"4,100.45",-,10.36,9.00,COAL
396,N18000411,AUGMENTATION OF TRANSFORMATION CAPACITY AT KPS2 AND KPS2,PGCIL,GOA,3-2025,3/2027,-,466.00,-,0.00,N.A.,COAL
397,N18000412,AUGMENTATION OF BANASKANTHA (RAGHANESDA) PS (GIS),PGCIL,GOA,3-2025,3/2027,-,172.00,-,0.00,N.A.,COAL
398,N22000142,MIYAGAM-KARJAN-DABHOI-SAMLAYA (GC),WR,GOA,4-2011,3/2021,Oct-2026,844.10,844.10,599.22,41.00,COAL
399,N22000504,ANAND GODHRA DOUBLING PROJECT 79 KMS,WR,GOA,4-2017,12/2024,Jun-2025,692.26,692.26,683.44,99.00,COAL
400,N22000532,4TH LINE BETWEEN BAREJADI NANDEJ (GERATPUR)- SANAND (38.20 KM) (AHMEDABAD BYPASS).,WR,GOA,2-2023,3/2027,Feb-2027,961.67,961.67,103.14,16.00,COAL
401,N22000533,QUADRUPLING BETWEEN GANDHIDHAM - ADIPUR WITH Y CONNECTION AT ADIPUR FOR PROVIDING DIRECT ENTRY TOWAR,WR,GOA,2-2023,12/2025,Dec-2025,152.44,152.44,19.50,60.00,COAL
402,N22000535,RAJKOT-KANALUS (111.20 KM),WR,GOA,10-2021,10/2026,Jun-2026,"1,080.58","1,080.58",304.58,70.00,COAL
403,N22000537,HIMMATNAGAR-KHEDBRAHMA (54.83 KM),WR,GOA,6-2022,2/2030,Jun-2025,354.99,482.42,309.75,91.00,COAL
404,N22000538,PETLAD-BHADRAN (22.5 KM),WR,GOA,5-2022,5/2030,Dec-2025,202.50,307.12,81.12,8.00,COAL
405,N22000539,NADIAD-PETLAD (37.26 KM),WR,GOA,5-2022,6/2030,-,335.34,461.91,74.11,7.00,COAL
406,N22000540,SAMLAYA-TIMBA ROAD (53.53 KM),WR,GOA,2-2023,3/2030,Jul-2026,670.00,670.17,101.79,12.00,COAL
407,N22000541,SAMNI-JAMBUSAR (24.08 KM),WR,GOA,5-2022,3/2030,Dec-2025,216.72,349.93,86.46,25.00,COAL
408,N22000547,VIJAPUR-AMBLIYASAN (41.53 KM),WR,GOA,5-2022,3/2030,Jul-2025,309.81,415.38,240.08,85.00,COAL
409,N22000548,ADRAJ MOTI-VIAJAPUR (39.75 KM),WR,GOA,5-2022,5/2030,Jul-2025,296.54,-,164.47,80.00,COAL
410,N22000550,NEW BG LINE BETWEEN NALIYA-JAKHAU PORT,WR,GOA,2-2023,1/2028,Dec-2026,410.46,410.46,5.89,2.00,COAL
411,N22000551,NEW BG LINE INTERSECTION (5 NOS) BETWEEN GERATPUR-SANAND AND BOTAD- AHMEDABAD (16.51 KM) (PB29/NR/20,WR,GOA,10-2022,10/2027,Feb-2027,437.21,-,30.05,N.A.,COAL
412,N22000592,TARANGA HILL ABU ROAD VIA AMBAJI NEW LINE,NWR,GOA,7-2022,7/2030,-,"2,798.16",-,"1,063.09",12.00,COAL
413,N22000600,JUNAGARH -VISAVADAR (42.28) KM,RVNL,GOA,6-2022,9/2028,-,493.00,-,0.00,N.A.,COAL
414,N22000622,MODASA- SHAMLAJI NEW LINE ( MM OF AHMEDABAD-HIMMATNAGAR-UDAIPUR (299.2 KM)),WR,GOA,9-2012,3/2027,Feb-2026,261.68,261.68,191.87,55.00,COAL
415,N24000569,FOUR LANING OF KAGAVADAR - UNA SECTION OF NH-8E FROM KM 139.915 TO KM 180.478 (PACKAGE-IV) IN THE ST,NHAI,GOA,5-2016,9/2019,May-2024,723.64,-,562.31,97.00,COAL
416,N24000592,4-LANNING OF KODINAR TO VERAVAL SECTION OF NH-8E FROM KM 221.610 TO KM 263.000,NHAI,GOA,7-2016,7/2020,-,829.97,-,486.93,96.63,COAL
417,N24000649,SIX LANNING FROM KM. 401.200 TO 494.410 OF NH-8 ON HYBRID ANNUITY MODE UNDER NHDP-V(PKG VI)REG.,NHAI,GOA,1-2017,12/2020,Oct-2025,"1,251.11","1,527.75",685.11,90.41,COAL
418,N24000834,CONSTRUCTION OF EIGHT LANE VADODARA KIM EXPRESSWAY FROM KM 254.430 TO KM 279.000 (KIM TO ANKLESHWAR,NHAI,GOA,3-2018,10/2021,May-2025,"1,161.39","1,738.03",683.24,83.00,COAL
419,N24000925,CONSTRUCTION OF MISSING LINKS (SINGLE LANE) IN LAKHPAT GADULI HAJIPIR ODMA KHAVDA DHOLAVIRA MAUVANA,MoRTH,GOA,10-2018,11/2020,Sep-2024,400.76,394.44,287.04,87.00,COAL
420,N24001427,CONSTRUCTION OF ROB WITH APPROACHES IN LIEU OF L C NO 165 OF AHMEDABAD PALANPUR BETWEEN RAILWAY STAT,MoRTH,GOA,6-2020,4/2023,Sep-2024,166.21,-,97.12,93.00,COAL
421,N24001443,CONSTRUCTION OF FOUR LANE EXPRESSWAY FROM START OF SARDAR PATEL RING ROAD TO SINDHREJ VILLAGE (CH. 0,NHAI,GOA,5-2020,3/2024,Jun-2025,690.30,929.95,841.05,93.90,COAL
422,N24001444,CONSTRUCTION OF FOUR LANE EXPRESSWAY FROM START OF SINDHREJ VILLAGE (CH. 22.00 TO CH. 48.52) SECTION,NHAI,GOA,5-2020,1/2024,Jun-2025,882.00,"1,229.37",996.88,89.28,COAL
423,N24001445,CONSTRUCTION OF FOUR LANE EXPRESSWAY FROM START OF VEJALLKA VILLAGE TO START OF DSIR ZONE OF AHMEDAB,NHAI,GOA,5-2020,7/2023,May-2025,691.52,903.85,872.33,99.10,COAL
424,N24001446,CONSTRUCTION OF FOUR LANE EXPRESSWAY FROM START OF DSIR ZONE OF AHMEDABAD DISTRICT TO ADHELAI VILLAG,NHAI,GOA,5-2020,12/2023,May-2025,894.00,"1,261.58","1,156.84",96.77,COAL
425,N24001515,DELHI VADODARA GREENFIELD ALIGNMENT SECTION OF NH 148N PACKAGE 26,NHAI,GOA,9-2020,2/2024,-,"1,542.02",-,969.47,68.35,COAL
426,N24001516,DELHI VADODARA GREENFIELD ALIGNMENT SECTION OF NH 148N PACKAGE 27,NHAI,GOA,9-2020,2/2024,Aug-2025,"1,185.69",-,980.16,93.52,COAL
427,N24001518,DELHI VADODARA GREENFIELD ALIGNMENT SECTION OF NH 148N PACKAGE 30,NHAI,GOA,11-2019,9/2023,-,"1,669.56",-,"1,066.35",96.90,COAL
428,N24001519,DELHI VADODARA GREENFIELD ALIGNMENT SECTION OF NH 148N PACKAGE 28,NHAI,GOA,9-2020,11/2023,-,"1,198.55",-,911.13,95.78,COAL
429,N24001520,DELHI VADODARA GREENFIELD ALIGNMENT SECTION OF NH 148N PACKAGE 31,NHAI,GOA,11-2019,5/2024,-,"1,604.06",-,"1,241.40",95.73,COAL
430,N24001785,UP-GRADATION TO 4-LANE WITH PAVED SHOULDER OF BHIMASAR JUNCTION OF NH-41 TO ANJAR BHUJ UPTO AIRPORT,NHAI,GOA,3-2022,6/2025,-,"1,373.06","1,085.00",656.62,87.30,COAL
431,N24001786,CONSTRUCTION OF EIGHT LANE ACCESS CONTROLLED EXPRESSWAY FROM KM 103.400 TO KM 128.000 OF VADODARA MU,NHAI,GOA,3-2021,3/2024,-,"1,259.00","2,652.24",278.29,34.08,COAL
432,N24001789,CONSTRUCTION OF EIGHT LANE EXPRESSWAY FROM KM 190.000 TO KM 217.500 GANDEVA TO ENA SECTION OF VADODA,NHAI,GOA,7-2020,8/2023,-,"1,710.30","2,665.08",900.19,90.56,COAL
433,N24001790,SANCHORE - SANTALPUR FROM KM 67.000- KM 99.000 OF NH-754K (AJ-RGBS-PACKAGE- 3),NHAI,GOA,2-2020,8/2023,Dec-2024,752.30,-,452.13,98.14,COAL
434,N24001792,4L OF BAL WORKS OF TALAJA - MAHUVA FROM 54.990 KM. TO 100.450 KM. OF OLD NH-8E (PACKAGE-II),NHAI,GOA,3-2021,9/2022,-,536.03,-,480.77,100.00,COAL
435,N24001793,4L OF BAL WORKS OF MAHUVA TO KAGVADAR FROM 100.450 KM. TO 140.470 KM. OF NH-8E (PKG- III),NHAI,GOA,3-2021,9/2022,-,485.75,-,393.88,99.57,COAL
436,N24001794,SANCHORE - SANTALPUR FROM KM 99.000- KM 130.073 OF NH-754K (AJ-RGBS-PACKAGE- 4),NHAI,GOA,2-2020,3/2023,Dec-2024,778.15,-,547.22,99.70,COAL
437,N24001827,4L KODINAR - VERAVAL (PACKAGE VI) FROM KM. 222.400 TO KM. 230.00 (KODINAR BYPASS) OF NH-8E (NH 51 NE,NHAI,GOA,3-2022,3/2023,-,162.73,-,131.79,100.00,COAL
438,N24002014,UPGRADATION AND STRENGTHENING TO 2 LANE PS FROM KM 95/500 TO KM 129/775 OF NH 168 G IDAR BHILODA SA,MoRTH,GOA,9-2022,12/2023,Dec-2025,237.28,-,0.34,N.A.,COAL
439,N24002034,UPGRADATION TO 4L PS DIVIDED CARRIAGEWAY FROM PATAN (NEAR RAJPUR) TO GOJARIYA FROM KM 52.000 TO KM 1,NHAI,GOA,12-2021,3/2025,-,"1,181.34","1,181.00",534.24,77.60,COAL
440,N24002035,WIDENING TO 6L OF EXISTING 4L JETPUR - GONDAL - RAJKOT SECTION FROM KM. 117.600 TO KM. 185.00 ON NH-,NHAI,GOA,9-2023,9/2025,-,"2,070.44",-,485.44,36.96,COAL
441,N24002117,UPGRADATION OF DHORAJI JAMKANDORNA KALAVAD SECTION OF NH 927D FROM DESIGN CHAINAGE KM 00 TO KM 58.11,MoRTH,GOA,10-2022,2/2024,Feb-2026,246.60,291.00,27.57,15.00,COAL
442,N24002118,UPGRADATION TO TWO LANE WITH PAVED SHULDER CONFIGUARATION FROM KM 00 TO 47 OF NH 351 MAHUVA TO BADHA,MoRTH,GOA,12-2022,2/2024,Aug-2025,173.06,-,0.15,N.A.,COAL
443,N24002182,WORK OF DEVELOPMENT AND CONSTRUCTION OF ELEVATED CORRIDORFROM KM 38/660 TO KM 42/690 (ISCON JUNCTION,MoRTH,GOA,3-2023,3/2026,-,530.20,-,0.00,N.A.,COAL
444,N24002183,"WIDENING 2 LANE TO 4-LANE FROM KM 92/320 TO KM 115/320 (VAV CHOKDI- SATLASANA TO TO VRUNDAVAN CHOKDI,",MoRTH,GOA,3-2022,3/2026,-,151.13,-,0.00,N.A.,COAL
445,N28000122,AHMEDABAD METRO RAIL PROJECT PHASE 1,AMR,GOA,11-2014,12/2018,-,"10,773.00",-,"12,484.89",99.89,"URBAN
DEVELOPMEN
T"
446,N28000137,AHMEDABAD METRO RAIL PROJECT PHASE II,AMR,GOA,3-2019,3/2024,-,"5,384.17",-,"4,032.54",85.77,"URBAN
DEVELOPMEN
T"
447,N28000138,SURAT METRO RAIL PROJECT,AMR,GOA,3-2019,3/2024,-,"12,020.32",-,"6,882.87",66.05,"URBAN
DEVELOPMEN
T"
448,N21000032,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES AT MANETHI, HARYANA.",HITES,GOA,3-2019,3/2023,Mar-2026,"1,294.34","1,294.34",269.20,23.20,"HEALTH AND
FAMILY
WELFARE"
449,N28000147,"C/o separate family accommodation (Phase-I) on EPC basis for SSB at Faridabad (Haryana)""",CPWD FOR MHA,GOA,1-2020,10/2023,Mar-2025,166.98,170.23,139.66,97.00,"HOME
AFFAIRS"
450,N16000375,R and D CAMPUS II AT FARIDABAD,IOCL,GOA,6-2019,12/2022,Jul-2025,"2,281.94","3,219.94","1,705.85",63.00,"HOME
AFFAIRS"
451,N16000412,CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA,IOCL,GOA,2-2021,9/2024,Dec-2025,"34,627.00","38,231.00","20,878.96",86.50,"HOME
AFFAIRS"
452,N16000458,POLY BUTADIENE RUBBER PLANT AT PANIPAT,IOCL,GOA,3-2022,3/2025,Jun-2026,"1,459.00","2,948.62",913.92,65.60,"HOME
AFFAIRS"
453,N18000420,IMPLEMENTATION OF LILO OF BOTH CIRCUITS OF 400KV VIDHYACHAL PS TO SASAN D/C LINE AT HINDALCO SWITCHY,PGCIL,GOA,2-2025,12/2026,-,370.00,-,0.00,N.A.,POWER
454,N22000604,DOUBLING BETWEEN BHIWANI-DOBH BAHALI,NWR,GOA,2-2023,2/2028,-,471.06,-,111.40,44.00,RAILWAYS
455,N22000606,DOUBLING BETWEEN REWARI-KATHUWAS (27.73 KM),NWR,GOA,2-2023,6/2027,-,352.41,-,169.66,51.00,RAILWAYS
456,N24001535,4-LANING OF GOHANA-SONIPAT (PKG-2) SECTION FROM KM 40.601 TO KM 78.837 (LENGTH = 38.236KM) OF NH-352,NHAI,GOA,7-2020,7/2022,May-2024,899.00,"1,882.46","1,123.98",97.30,RAILWAYS
457,N24001633,CONSTRUCTION OF FOUR LANE GREENFIELD PROJECT OF DELHI- AMRITSAR-KATRA EXPRESSWAY (PHASE-I PKG-III) F,NHAI,GOA,12-2020,12/2023,Mar-2024,"1,430.88","1,813.91","1,190.24",99.90,RAILWAYS
458,N24001634,CONSTRUCTION OF FOUR LANE GREENFIELD PROJECT OF DELHI- AMRITSAR-KATRA EXPRESSWAY (PHASE-I PKG-IV) FRO,NHAI,GOA,1-2021,12/2023,Mar-2024,"1,306.95","1,564.14",942.71,99.97,RAILWAYS
459,N24001635,4 LANING OF JAGADHRI TAJEWALA ROAD SECTION OF NH 907 (OLD NH 73A) UNDER NH(O) (PKG 1) IN THE STATE O,NHAI,GOA,3-2022,2/2025,-,"1,269.50",-,151.00,52.00,RAILWAYS
460,N24001673,4- LANING OF ROHTAK-JIND SECTION FROM KM. 307+000 TO KM. 347+800 OF NH- 71 AND CONNECTING LINK FROM K,NHAI,GOA,3-2020,3/2023,Nov-2024,510.97,-,529.00,96.75,RAILWAYS
461,N24001774,CONSTRUCTION OF GURGAON - PATAUDI - REWARI SECTION OF NH-352W (DESIGN LENGTH 46.11 KM) AS FEEDER ROU,NHAI,GOA,12-2020,11/2023,-,"1,524.03",-,"1,105.08",65.54,RAILWAYS
462,N24001775,CONSTRUCTION OF PROPOSED REWARI BYPASS (DESIGN LENGTH 14.4 KM) NH-11 AS A FEEDER ROUTE IN THE STATE,NHAI,GOA,2-2020,1/2023,Dec-2024,808.31,-,917.55,100.00,RAILWAYS
463,N24002037,UPGRADATION OF EXISTING 4 LANE ISMAILABAD-AMBALA SECTION (KM. 0+000 TO KM 42+500) (PART OF AMBALA-KO,NHAI,GOA,1-2023,12/2025,-,609.32,609.00,187.47,47.30,RAILWAYS
464,N24002038,CONSTRUCTION OF 6-LANE GREENFIELD KARNAL RING ROAD STARTING FROM NH- 44 NEAR VILLAGE SHAMGARH (DESIGN,NHAI,GOA,11-2022,8/2025,-,"1,691.45","1,998.00",649.71,58.76,RAILWAYS
465,N24002039,CONSTRUCTION OF 6-LANE GREENFIELD AMBALA RING ROAD STARTING FROM JUNCTION WITH SHAMLI-AMBALA SECTION,NHAI,GOA,2-2023,10/2025,-,"1,088.64","1,178.00",425.85,53.55,RAILWAYS
466,N24002040,DEVELOPMENT OF SIX-LANE ACCESS CONTROLLED HIGHWAY FROM RANIPUR BARSI (SAHARANPUR DISTRICT) TO ADHOYA,NHAI,GOA,4-2022,5/2025,-,"1,554.21",-,522.92,54.00,RAILWAYS
467,N24002041,DEVELOPMENT OF SIX-LANE ACCESS CONTROLLED HIGHWAY FROM ADHOYA MUSALMANA (AMBALA DISTRICT) TO SADOPUR,NHAI,GOA,4-2022,5/2025,-,"1,491.71",-,706.26,49.70,RAILWAYS
468,N24002042,CONSTRUCTION OF 4-LANING OF BHIWANI HANSI ROAD SECTION OF NH 148B (DESIGN LENGTH 42.934 KM) UNDER BH,NHAI,GOA,11-2022,12/2025,-,"1,322.13",-,354.56,91.01,RAILWAYS
469,N24002043,CONSTRUCTION OF 4-LANE GREENFIELD JALBEHRA - SHAHBAD SECTION OF NH ? 152G FROM KM 0+000 TO KM 22+850,NHAI,GOA,3-2022,6/2025,-,927.22,"1,173.66",493.79,80.50,RAILWAYS
470,N24002044,4L AMBALA - KALAAMB FROM KM. -0.800 TO KM. 33.015 OF OLD NH-72,NHAI,GOA,6-2023,6/2025,-,629.16,-,94.00,95.00,RAILWAYS
471,N24002048,CONSTRUCTION OF GREENFIELD CONNECTIVITY TO JEWAR INTERNATIONAL AIRPORT FROM DND FARIDABAD BALLABHGAR,NHAI,GOA,7-2022,6/2025,-,"2,414.67","2,898.00","1,229.90",47.20,RAILWAYS
472,N42000008,ESTABLISHMENT OF PERMANENT CAMPUS PHASE 1 OF IIM SIRMAUR,CPWD EDUCATION,GOA,9-2018,6/2022,Dec-2024,392.51,-,316.16,91.50,DEPARTMENT
473,N42000011,CONSTRUCTION OF PERMANENT CAMPUSES OF CENTRAL UNIVERSITY OF HIMACHAL PRADESH AT DEHRA AND DHARAMSHAL,CPWD,GOA,3-2021,11/2024,Jul-2025,512.37,300.45,157.12,72.00,"OF HIGHER
EDUCATION"
474,N18000279,LUHRI HYDROELECTRIC PROJECT (STAGE1),SJVN,GOA,11-2020,1/2026,-,"1,810.56",-,"1,715.33",51.32,POWER
475,N18000291,DHAULASIDH HYDROELECTRIC PROJECT (66 MW),SJVN,GOA,10-2020,11/2025,-,687.97,-,874.54,66.91,POWER
476,N18000344,SUNNI DAM HYDRO ELECTRIC PROJECT,SJVN,GOA,1-2023,4/2028,-,"2,614.51",-,942.36,29.08,POWER
477,N22000273,BHANUPALI-BILASPUR BERI NL,RVNL,GOA,4-2008,12/2026,-,"13,370.29",-,"5,369.57",N.A.,RAILWAYS
478,N24000613,FOUR LANNING OF NERCHOWK-PANDOH BYPASS SECTION OF NH-21(PACKAGE-I KM 190.000 TO KM 221.305) UNDER NH,NHAI,GOA,9-2016,7/2020,-,"1,273.71",-,"1,439.49",97.26,RAILWAYS
479,N24000852,"FOUR LANING OF SOLAN-KAITHLIGHAT SECTION OF NH-22 (NOW NH-5) FROM KM 106.139 TO KM 129.050, ON EPC M",NHAI,GOA,3-2018,5/2021,Dec-2024,478.74,-,"1,349.59",83.00,RAILWAYS
480,N24001381,REHABILITATION AND UPGRADATION TO 2- LANE/2-LANE WITH PAVED SHOULDERS/4- LANE CONFIGURATION OF PAONTA,MoRTH,GOA,8-2020,4/2021,-,272.98,-,140.69,100.00,RAILWAYS
481,N24001382,REHABILITATION AND UPGRADATION TO 2- LANE CONFIGURATION OF HEWNA- ASHYARI SECTION (KM 25.000 TO KM 50.,MoRTH,GOA,8-2020,3/2021,-,242.80,-,96.76,92.44,RAILWAYS
482,N24001383,REHABILITATION AND UPGRADATION TO INTERMEDIATE LANE CONFIGURATION OF SHRI KYARI-GUMMA SECTION (KM 75,MoRTH,GOA,8-2020,4/2021,-,349.20,-,239.34,100.00,RAILWAYS
483,N24001422,REHABILITATION AND UPGRADATION TO 2- LANE CONFIGURATION OF ASHYARI-SHRI KYARI SECTION (KM 50.000 TO K,MoRTH,GOA,2-2021,9/2021,-,345.89,-,162.23,91.75,RAILWAYS
484,N24001447,REHABILITATION AND UPGRADATION TO 2- LANE CONFIGURATION OF HAMIRPUR- KARNOHAL SECTION (KM 141.000 TO K,MoRTH,GOA,8-2020,12/2024,-,371.93,-,154.04,81.00,RAILWAYS
485,N24001470,REHABILITATION AND UPGRADATION TO 2- LANE CONFIGURATION OF KALWAHAN- MANDI SECTION (KM 208.950 TO KM 2,MoRTH,GOA,8-2020,4/2025,-,314.32,-,49.26,45.00,RAILWAYS
486,N24001808,REHABILITATION AND UPGRADING FROM 2 L TO 4 L FROM BHANGBAR(NEAR RANITAL) TO KANGRA BYPASS SECTION OF,NHAI,GOA,3-2021,12/2024,Dec-2024,"1,322.95","1,442.47",888.51,96.61,RAILWAYS
487,N24001809,CONVERSION OF PARTIALLY EXCAVATED ESCAPE TUNNEL TO UNIDIRECTIONAL TWO LANE TUNNEL (INCLUDING CONSTRU,NHAI,GOA,5-2022,3/2024,Dec-2024,469.95,-,302.91,98.30,RAILWAYS
488,N24001810,4L SUNDER NAGAR BYPASS FROM KM173.900 TO KM 179.600 OF NH-21 IN THE STATE OF HP,NHAI,GOA,2-2022,6/2024,-,190.60,-,103.48,100.00,RAILWAYS
489,N24001811,4L OF MO - SIHUNI FROM KM. 42.00 TO KM. 51.00 OF OLD NH-20 (NEW NH-154) (PACKAGE-IB),NHAI,GOA,4-2021,6/2024,-,583.93,770.00,173.60,100.00,RAILWAYS
490,N24001812,4L OF HP/PUNJAB BO4L OF HP/PUNJAB BORDER - MO FROM KM. 11.00 TO KM. 42.00 OF OLD NH-20 (NEW NH-154),NHAI,GOA,3-2021,5/2024,-,"1,002.11","1,361.79",190.22,46.54,RAILWAYS
491,N24001813,4L OF END OF PINJORE BYPASS - BADDI - NALAGARH SECTION (KM. 4.200 TO KM. 35.370) OF NH21A,NHAI,GOA,7-2021,9/2024,-,"1,692.05",-,942.14,21.60,RAILWAYS
492,N24001915,IMPROVEMENT/CONSTRUCTION OF EXISTING CLASS-5 ROAD TO NH INTERMEDIATE LANE SPECIFICATION WITH HARD SH,BRO,GOA,3-2021,6/2026,-,230.54,-,20.16,28.00,RAILWAYS
493,N24001916,IMPROVEMENT/CONSTRUCTION OF EXISTING CLASS 5 ROAD TO NH INTERMEDIATE LANE SPECIFICATION WITH HARD SH,BRO,GOA,3-2021,5/2026,-,314.67,-,76.05,47.00,RAILWAYS
494,N24002049,PKG NAME: 4L OF KATHLIGHAT TO SHAKRAL VILLAGE FROM KM 128.835 TO KM 146.300 OF NH- 5 (SHIMLA BYPASS,NHAI,GOA,3-2022,4/2026,-,"1,703.48","2,278.00",651.98,14.50,RAILWAYS
495,N24002050,REHABILITATION AND UPGRADATION TO 4L CONFIGURATION and STRENGTHENING OF SIHUNI TO RAJOL FROM KM 51.0,NHAI,GOA,2-2022,9/2025,-,696.65,698.46,367.62,64.80,RAILWAYS
496,N24002051,CONSTRUCTION OF NEW 2 LANE WITH PAVED SHOULDER OF HAMIRPUR BYPASS (PACKAGE IVA) OF NH-88 (NEW NH-103,NHAI,GOA,7-2022,10/2025,-,739.39,-,328.46,78.00,RAILWAYS
497,N24002052,REHABILITATION AND UP-GRADATION OF EXISTING ROAD TO 2L PS FROM END OF HAMIRPUR BYPASS (NEAR CHILBAHA,NHAI,GOA,2-2022,4/2025,-,"1,146.19",-,918.84,69.27,RAILWAYS
498,N24002192,REHABILITATION AND UP-GRADATION TO 4L CONFIGURATION AND STRENGTHENING OF THANPURI TO PAROR SECTION F,NHAI,GOA,6-2022,12/2025,-,815.69,815.69,392.01,29.20,RAILWAYS
499,N28000154,CONSTRUCTION OF PERMANENT CAMPUS OF CENTRAL UNIVERSITY OF HIMACHAL PRADESH AT DEHRA AND JADRANGAL (D,CPWD,GOA,4-2022,11/2024,-,512.34,-,0.00,N.A.,"URBAN
DEVELOPMEN
T"
500,N04000107,JAMMU - CONSTRUCTION OF NEW CIVIL ENCLAVE,AAI,GOA,7-2022,6/2026,-,861.37,-,144.65,30.00,"CIVIL
AVIATION"
501,N28000130,CONSTRUCTION OF PERMANENT CAMPUS OF IIM JAMMU (PHASE 1),CPWD EDUCATION,GOA,3-2019,7/2022,Jan-2025,424.93,-,448.15,96.00,DEPARTMENT
502,N28000131,CONSTRUCTION OF PERMANENT CAMPUS IIT JAMMU (PHASE 1C),CPWD EDUCATION,GOA,1-2018,4/2023,Apr-2025,676.00,"1,144.68",54.75,100.00,"OF HIGHER
EDUCATION"
503,N21000029,"CONSTRUCTION OF AIIMS AT JAMMU VIJAYPUR, SAMBA JAMMU AND KASHMIR",CPWD FOR HEALTH,GOA,3-2019,9/2023,May-2025,"1,404.00","1,642.00","1,461.68",100.00,"HEALTH AND
FAMILY
WELFARE"
504,N28000150,C/O AIIMS AT AWANTIPORA (KASHMIR) JAMMU AND KASHMIR,CPWD FOR HEALTH,GOA,3-2019,9/2025,-,"1,828.00",-,"1,285.40",64.10,"HEALTH AND
FAMILY
WELFARE"
505,N16000500,SETTING UP A COMMON USER PETROLEUM TERMINAL AT JAMMU FOR RE-SITEMENT OF EXISTING DEPOTS OF PSU OMCS,BPCL,GOA,4-2021,3/2025,-,676.89,-,495.30,75.00,"HEALTH AND
FAMILY
WELFARE"
506,N16000527,CGD PROJECT AT JAMMU DISTRICTS,IOCL,GOA,3-2022,3/2032,Sep-2034,538.00,-,4.09,0.60,"HEALTH AND
FAMILY
WELFARE"
507,N18000172,PAKAL DUL HYDRO ELECTRIC PROJECT (1000 MW),CVPPPL,GOA,10-2014,4/2020,Jul-2025,"8,112.12",-,"6,561.65",69.35,POWER
508,N18000278,KIRU HYDRO ELECTRIC PROJECT,CVPPPL,GOA,3-2019,8/2024,-,"4,287.59",-,"2,599.24",61.38,POWER
509,N18000324,RATLE HE PROJECT,NHPC,GOA,2-2021,2/2026,-,"5,281.94",-,968.19,23.01,POWER
510,N18000363,KWAR HE PROJECT,CVPPPL,GOA,5-2022,11/2026,-,"4,526.12",-,"1,119.97",21.45,POWER
511,N18000417,TRANSMISSION SCHEME FOR EVACUATION OF POWER FROM RATLE HEP (850 MW) AND KIRU (624 MW): PART B,PGCIL,GOA,3-2025,3/2027,-,219.00,-,0.00,N.A.,POWER
512,N24000488,FOUR LANING OF UDHAMBUR - RAMBAN SECTION OF NH-1A,NHAI,GOA,12-2015,12/2018,Jun-2025,"2,136.97","2,644.00","2,386.51",99.50,POWER
513,N24000717,CONSTRUCTION OF STAND ALONE RING ROAD/ BYPASS AROUND JAMMU CITY IN THE STATE OF J AND K ON EPC MODE,NHAI,GOA,12-2017,7/2021,Jun-2025,"1,471.75","1,471.75","1,716.22",98.80,POWER
514,N24000868,UP-GRADATION TO 4-LANE WITH PAVED SHOULDER OF JAMMU-AKHNOOR ROAD SECTION OF NH-144A FROM GANESH VIHA,NHIDCL,GOA,3-2018,7/2021,Aug-2023,253.44,-,189.72,82.35,POWER
515,N24001256,CONSTRUCTION OF (I) CONNECTING ROAD FROM Z-MORH TUNNEL TO ZOJILA TUNNEL AND (II) 14.150 KM LONG BI-D,NHIDCL,GOA,8-2020,9/2026,-,"6,808.69",-,"3,013.84",49.92,POWER
516,N24001264,UP-GRADATION TO 2-LANE WITH PAVED SHOULDER FROM KM 12.850 TO KM20.300 OF 7.450KM LENGTH ON GOHA-KHEL,NHIDCL,GOA,7-2020,4/2022,Oct-2024,228.39,-,69.32,87.85,POWER
517,N24001266,UP-GRADATION TO 2-LANE WITH PAVED SHOULDER FROM KM 20.300 TO KM 29.030 OF 8.730 KM LENGTH ON GOHA-K,NHIDCL,GOA,7-2020,4/2022,Nov-2023,210.79,-,71.00,90.40,POWER
518,N24001323,KHELLANI-KHANABAL PKG-1,NHIDCL,GOA,3-2021,9/2022,Oct-2024,486.45,-,126.73,96.58,POWER
519,N24001341,KHELLANI-KHANABAL PKG-3,NHIDCL,GOA,3-2021,12/2022,Oct-2024,398.51,-,80.64,98.36,POWER
520,N24001394,KHELLANI-KHANABAL PKG-2,NHIDCL,GOA,7-2021,2/2023,Jun-2025,512.43,-,71.65,51.52,POWER
