Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),AUG25 progress (%),Sector
321,612203,Academic Block 1 & 2,"(Indian Institute of Technology, Bombay)",Maharashtra,NA,01/2023,07/2026,03/2027,68,263.93,22.26,18,Cumulative
322,612885,Construction and Developement of National Institute of Technology Meghalaya Permanent Campus at Sohra,"(National Institute of Technology, Meghalaya)",Meghalaya,03/2020,09/2014,03/2022,07/2025,494.52,494.52,413.57,86,Cumulative
323,612876,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl",(Ministry of Education),Mizoram,03/2020,05/2014,12/2029,12/2029,474.23,474.23,167.55,4,Cumulative
324,613013,Establishment of NIT Nagaland,(NIT Nagaland),Nagaland,NA,09/2012,12/2025,-,275.63,275.63,260.1,95,Cumulative
325,610315,IISER BERHAMPUR,"(Indian Institutes of Science Education and Research, Behrampur)",Odisha,10/2018,09/2019,03/2021,12/2025,1229.32,773.76,837.04,97,Cumulative
326,612877,Establishment of NIT Puducherry Permanent Campus [Phase-I and Phase-II],"(National Institute of Technology, Puducherry)",Puducherry,03/2020,07/2013,12/2024,08/2025,618.34,544.34,509.55,94,Cumulative
327,605292,"Construction of Permanent Campus of Indian Institute of Management [IIM] Amritsar, Punjab, Phase-I","(Indian intitue of Management, Amritsar)",Punjab,10/2019,07/2020,06/2023,12/2025,348.31,348.31,290.39,91,Cumulative
328,617221,"Construction of Girls Hostel 400 seater, Boys Hostel 600 seater, Academic Block, International Hostel 100 seater, VC Residence and Purchase of Equipment",(Central University of Punjab),Punjab,08/2024,04/2025,10/2027,-,210.99,210.99,0,0,Cumulative
329,609736,"Construction of Sikkim University Campus Phase-I Package-II at Yangang, South Sikkim",(Sikkim University),Sikkim,08/2020,01/2022,01/2025,09/2025,314.06,314.06,238.22,82,Cumulative
330,612883,Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok District,(Ministry of Education),Sikkim,02/2024,03/2024,02/2028,12/2026,685.76,610.76,121.56,9,Cumulative
331,609996,Construction of Precast housing and hostels at IIT Hyderabad,"(Indian Institute of Technology, Hyderabad)",Telangana,NA,11/2022,10/2024,01/2026,262,262,177.09,73,Cumulative
332,606479,Banaras Hindu University [ Kayakalp of Institute of Medical Sciences],(Banaras Hindu University),Uttar Pradesh,NA,06/2020,09/2022,03/2026,246,246,193.38,95,Cumulative
333,611963,"Construction & Development of Infrastructural Facilities in the main campus of NIT Uttarakhand at Sumari, Pauri Garhwal",(National Institute of Technology Uttarakhand),Uttarakhand,06/2020,04/2024,09/2027,-,650.85,650.85,195.52,24,Cumulative
334,609019,"HEFA projects on development of student hostels, playgrounds, departmental buildings, class room complex and other campus facilities in IIT Kharagpur","(Indian Institute of Technology, Kharagpur)",West Bengal,06/2018,04/2019,03/2023,03/2026,500,442,383.6,87,Cumulative
335,609041,"IoE Projects [Civil Works], IIT Kharagpur","(Indian Institute of Technology, Kharagpur)",West Bengal,NA,04/2019,03/2023,12/2026,287.2,287.2,310,86,Cumulative
336,616235,Construction of Aviation Fuel farm Facilities at Bhogapuram Airport,(Ministry of Petroleum & Natural Gas),Andhra Pradesh,NA,08/2024,03/2026,03/2026,240,240,38.82,59,Energy Storage
337,709754,"Construction of LPG Facilities at Kamardanga, Assam",(Hindustan Petroleum Corporation Limited),Assam,NA,03/2023,07/2027,07/2027,156.36,156.36,54.15,46,Energy Storage
338,709755,"Setting up of new rail fed POL facility at Kamardanga, Assam",(Hindustan Petroleum Corporation Limited [HPCL]),Assam,NA,03/2023,07/2027,07/2027,384.04,384.04,120.4,52,Energy Storage
339,400235,"Setting up a common user Petroleum Terminal at Jammu, J&K for resitement of existing PSU OMC's Depots from Jammu City",(Bharat Petroleum Corporation Limited [BPCL]),Jammu and Kashmir,NA,04/2023,03/2025,01/2026,676.89,676.89,526.1,79,Energy Storage
340,604833,"Andheri Residential Towers, Mumbai",(Ministry of Petroleum & Natural Gas),Maharashtra,NA,06/2017,05/2025,06/2026,281.35,389.67,230.76,50,Energy Storage
341,701343,Srikakulam Angul Gas Pipeline Project,(Ministry of Petroleum & Natural Gas),"Multi-States (Andhra Pradesh, Odisha)",NA,09/2019,07/2022,12/2025,2658.34,2810,2203.98,95,Energy Storage
342,701263,Rajasthan Refinery Project,(MinistryofPetroleumNaturalGas),"Multi-States (Arunachal Pradesh, Gujarat, Rajasthan)",NA,10/2017,10/2022,03/2026,43129,79459,60295.14,88,Energy Storage
343,701349,Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal [COIT] at Paradip,(Ministry of Petroleum & Natural Gas),"Multi-States (Assam, Bihar, Jharkhand, Odisha, West Bengal)",NA,01/2019,07/2024,09/2025,10228,11407,9766.72,87,Energy Storage
344,400078,New Mundra Panipat Crude Oil Pipeline,(Ministry of Petroleum & Natural Gas),"Multi-States (Gujarat, Haryana, Rajasthan)",NA,12/2021,12/2024,12/2025,9028,9028,7136.41,85,Energy Storage
345,400012,Kandla Gorakhpur LPG Pipeline,(Ministry of Petroleum & Natural Gas),"Multi-States (Gujarat, Madhya Pradesh, Uttar Pradesh)",NA,12/2018,12/2021,12/2025,10088,10088,7672.23,92,Cumulative
346,400301,Multi Product Pipeline from Irugur to Devangonthi,"(Department of Water Resources, River Development & GR)","Multi-States (Karnataka, Tamil Nadu)",NA,11/2012,02/2017,10/2025,678,1732,713.86,69,Cumulative
347,709759,"Petrochemical evacuation marketing terminal at Barmer, Rajasthan",(Hindustan Petroleum Corporation Limited [HPCL]),Rajasthan,NA,12/2023,12/2026,12/2026,461.05,461.05,116.48,54,Cumulative
348,400043,Laying of POL Pipelines in Common Corridor for proposed grass root terminal at Vallur [Chennai],(Ministry of Petroleum & Natural Gas),Tamil Nadu,NA,01/2022,05/2026,05/2026,829,829,301.71,63,Cumulative
349,400077,"Grass root POL Terminal at Vallur, Chennai",(Indian Oil Corporation Limited [IOCL]),Tamil Nadu,NA,01/2022,12/2024,03/2026,827,887.71,626.01,88,Cumulative
350,400035,"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existing Dharmanagar Depot",(Indian Oil Corporation Limited [IOCL]),Tripura,NA,06/2022,09/2025,06/2026,656,656,478.11,86,Cumulative
351,604852,"Grass-root Terminal at Mirzapur, Uttar Pradesh",(Ministry of Petroleum & Natural Gas),Uttar Pradesh,NA,09/2022,11/2026,11/2026,980.45,980.45,216.66,52,Cumulative
352,400120,KG-DWN-98/2 Cluster - II Development Project - NELP Block,(Oil and Natural Gas Corporation Limited [ONGC]),Andhra Pradesh,NA,03/2016,06/2020,06/2026,34012,34012,33238.47,96,Oil & Gas
353,709752,HP-COAT [Crude to Olefins and Aromatics Technology] demo unit at Visakh Refinery,(Hindustan Petroleum Corporation Limited),Andhra Pradesh,NA,09/2021,06/2024,03/2026,160,220,80.29,69,Oil & Gas
354,709761,HP Trijet Unit in Visakh Refinery,(Hindustan Petroleum Corporation Limited),Andhra Pradesh,NA,07/2024,07/2027,07/2027,193,193,0.43,23,Oil & Gas
355,709766,"City Gas Distribution Project at Kurnool, Guntur & Prakasam Districts",(MinistryofPetroleumNaturalGas),Andhra Pradesh,NA,03/2022,03/2030,03/2030,1420,1420,165.65,6,Oil & Gas
356,604791,Numaligarh Refinery Expansion Project,(Ministry of Petroleum & Natural Gas),Assam,NA,07/2020,07/2024,12/2025,12366,22494,16764.09,76,Oil & Gas
357,604792,"Assam Bio Refinery, ABRPL",(Ministry of Petroleum & Natural Gas),Assam,NA,02/2018,09/2021,09/2025,1750,4930,4710,99,Oil & Gas
358,604863,Development of Surface Facilities for production and evacuation of Crude Oil and Natural Gas from Nadua and East Khagorija,(Ministry of Petroleum & Natural Gas),Assam,NA,01/2018,02/2020,12/2025,682.9,726.93,489.3,94,Oil & Gas
359,607701,"Guwahati Refinery Expansion [1.0 to 1.2 MMTPA] along with installation of CRU, Guwahati Refinery",(Ministry of Petroleum & Natural Gas),Assam,NA,05/2021,10/2023,05/2026,412.3,577,430.83,85,Oil & Gas
360,616858,"Construction of Field Gas Gathering Station at Baghjan area for collection, processing & transportation of natural Gas to be produced from Baghjan Field",(Ministry of Petroleum & Natural Gas),Assam,NA,12/2020,03/2024,12/2025,430.76,430.76,327.27,85,Oil & Gas
361,709776,Augmentation/Revamping of Facilities at existing Guwahati Terminal at Betkuchi,(MinistryofPetroleumNaturalGas),Assam,NA,04/2022,09/2026,09/2026,277,323.09,185.18,68,Oil & Gas
362,709779,Capacity Expansion of Digboi Refinery from 0.65 to 1.0 MMTPA,(MinistryofPetroleumNaturalGas),Assam,NA,06/2022,03/2026,03/2026,768,740,107.72,39,Oil & Gas
363,709847,Pipeline Network Project Rudrasagar,(Ministry of Petroleum & Natural Gas),Assam,NA,01/2023,04/2026,04/2026,344.99,344.99,211.05,47,Oil & Gas
364,709850,Borholla GGS Life Extension Project [BLEP],(Ministry of Petroleum & Natural Gas),Assam,NA,09/2023,05/2026,05/2026,198.7,198.7,36.8,30,Oil & Gas
365,709864,DCU Revamp Project,(NRL),Assam,NA,08/2021,07/2024,10/2025,370,370,253.17,60,Oil & Gas
366,709865,Power Recovery Turbine [PRT] in PFCCU unit as an Energy Conservation Scheme,(NRL),Assam,NA,04/2023,12/2024,10/2025,293.5,293.5,97.22,94,Oil & Gas
367,617303,"City Gas Distribution Project at Khagaria, Saharsa and Madhepura",(Ministry of Petroleum & Natural Gas),Bihar,NA,03/2019,03/2030,03/2030,163,163,96.07,40,Oil & Gas
368,617304,"Setting up of LPG Plant with Rail Unloading Facility at Hathua, Dist. Gopalganj, Bihar",(MinistryofPetroleumNaturalGas),Bihar,NA,10/2023,03/2027,03/2027,340.15,340.15,91.32,26,Oil & Gas
369,701324,Barauni Refinery Capacity Expansion from 6.0 to 9.0 MMTPA,(Ministry of Petroleum & Natural Gas),Bihar,NA,01/2020,04/2023,08/2026,14810,16724,11880.66,87,Oil & Gas
370,709777,Installation of Bitumen Manufacturing Unit along with allied facilities at Barauni Refinery,(MinistryofPetroleumNaturalGas),Bihar,NA,01/2022,04/2025,10/2026,389.35,340,50.48,40,Oil & Gas
