Sl.No,Project Code,Project Name,Agency,State,Date of Approval (MM/YYYY),Start Date (MM/YYYY),Original DoC (MM/YYYY),Revised DoC (MM/YYYY),Original Cost (Rs. Crore),Revised Cost (Rs. Crore),Cumulative Expenditure (Rs. Crore),AUG25 progress (%),Sector
549,705458,Miyagam-Karjan-Dabhoi-Samlaya [GC],(Western Railway [WR] - II),Gujarat,01/2017,01/2017,03/2021,12/2026,483.88,844.1,620.98,41,Cumulative
550,706757,Modasa-Shamlaji Road Railway Line Project,(SECR),Gujarat,09/2012,04/2008,03/2025,03/2027,262,262,203,58,Cumulative
551,706763,Rajkot - Kanalus Doubling Project [111.2 Kms],(Western Railway [WR] - II),Gujarat,10/2021,12/2021,10/2026,10/2026,1080.58,1080.58,787.69,76,Cumulative
552,709812,NADIAD-PETLAD [37.26 KM],(Railway),Gujarat,NA,,06/2030,06/2030,461.91,461.91,75,7,Cumulative
553,709813,NEW BG LINE INTERSECTION [5 NOS] BETWEEN GERATPUR-SANAND & BOTAD-AHMEDABAD [16.51 KM]  [PB#29/NR/202,(SECR),Gujarat,NA,,10/2027,10/2027,437.21,437.21,43,15,Cumulative
554,611884,Bhiwani - Dobh Bahali Doubling Project [42.30 Km],(North Western Railway [NWR]),Haryana,02/2023,02/2023,02/2028,02/2028,471,471,191.39,59,Cumulative
555,705765,Gomoh - Flyover for DN trains,(East Central Railway [ECR] - I),Jharkhand,01/2018,01/2018,03/2026,03/2026,686,686,538.66,59,Cumulative
556,705785,Lodhma - Piska - Link Line bypassing Hatia/Ranchi with Y connection,(South Eastern Railway [SER] - I),Jharkhand,08/2021,03/2019,06/2026,05/2027,473,473,284.34,4,Cumulative
557,706837,Pradhan Kuntha Jn Line Doubling Project,(East Central Railway [ECR] - I),Jharkhand,11/2022,11/2022,11/2027,11/2027,349.22,349.22,90.64,60,Cumulative
558,400023,Construction of New BG line between Hassan to Belur [27 Km],(South Western Railway [SWR] - II),Karnataka,03/2019,12/2025,04/2028,04/2027,749,749,0,0,Cumulative
559,703585,Yeshvanthpur - Channasandra Doubling Project [21.70 Km],(Karnataka Rail Infrastructure Development Company Limited [K-RIDE]),Karnataka,NA,10/2019,03/2024,08/2025,314.1,683.57,151.11,52,Cumulative
560,705434,New Railway Line between Ginigera and Raichur [165.57 km],(South Western Railway [SWR] - II),Karnataka,03/2008,05/2009,03/2019,03/2027,2565,3034.98,2073.98,66,Cumulative
561,705490,Gadag-Wadi New Railway Line [257 km],(South Western Railway [SWR] - II),Karnataka,04/2013,08/2017,03/2027,12/2027,2842,6700,1735.22,30,Cumulative
562,705492,Kadur - Chickamagalur - Sakleshpur [93km],(South Western Railway [SWR] - II),Karnataka,01/2014,11/2016,06/2025,12/2025,825,825,788.13,83,Cumulative
563,705495,Bagalkot-Kudachi New Railway Line [142 km],(South Western Railway [SWR] - II),Karnataka,11/2021,11/2012,03/2027,01/2027,1378,1649,683.48,35,Cumulative
564,705496,Tumkur-Chitradurga-Davangere New Rail Line Project [191 km],(South Western Railway [SWR] - II),Karnataka,10/2013,01/2017,03/2019,12/2027,1876,1876,523.07,13,Cumulative
565,705663,Bangalore-Whitefield-Bangalore City-Krishnarajapuram [23.08 km] - Quadrupling,(South Western Railway [SWR] - II),Karnataka,02/2018,06/2022,02/2026,02/2026,493,493,252.45,82,Cumulative
566,705761,SHIMOGA - SHIKARIPURA - RANEBENNUR [96 Km],(South Western Railway [SWR] - II),Karnataka,NA,02/2023,12/2027,06/2028,1454,1454,69.82,11,Cumulative
567,706835,Belgaum-Dharwad via Kittur [73.10Km],(South Western Railway [SWR] - II),Karnataka,09/2020,03/2025,12/2027,03/2029,1591,1591,0.75,0,Cumulative
568,705638,Kumbalam-Turavur doubling project [15.59 Km],(Southern Railway [SR] - II),Kerala,04/2023,04/2023,03/2027,03/2027,813,813,292.15,15,Cumulative
569,705639,Ernakulam-Kumbalam doubling project [7.71 Km],(SR-ERS),Kerala,04/2023,04/2023,03/2028,03/2028,601,601,283,17,Cumulative
570,705480,"Lalitpur-Satna, Rewa-Singrauli & Mahoba-Khajuraho",(North Central Railway),Madhya Pradesh,01/2007,03/1998,03/2027,12/2027,8914,8914,5013.49,72,Cumulative
571,705651,Katni - Bina Third Railway Line [279 km],(West Central Railway WCR I),Madhya Pradesh,06/2016,01/2017,03/2022,12/2025,2478.23,4127.23,3301.89,90,Cumulative
572,705659,Satna-Rewa Railway Line Doubling Project,(West Central Railway [WCR] - II),Madhya Pradesh,11/2015,08/2017,03/2026,03/2026,500,584,561.38,80,Cumulative
573,705660,Doubling of Katni - Singrauli Railway Line [261 km],(Indian Railway Construction International Limited [IRCON]),Madhya Pradesh,03/2016,03/2017,12/2025,12/2025,2445,4377,3201.67,100,Cumulative
574,705661,Katni Grade Separator/Bye Pass,(Indian Railway Construction International Limited [IRCON]),Madhya Pradesh,03/2016,09/2017,09/2024,03/2026,1248,1248,1587.21,94,Cumulative
575,705763,Indore - Budni New Railway Line [198 kms],(RVNL - II),Madhya Pradesh,08/2019,10/2020,09/2030,09/2030,7474,7474,1685.25,23,Cumulative
576,705933,Nimach-Ratlam Doubling [133 Km],(Western Railway [WR] - II),Madhya Pradesh,10/2021,10/2021,10/2027,10/2027,1095.88,1095.88,1067.49,89,Cumulative
577,400019,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],(CR),Maharashtra,01/2019,04/2023,12/2026,09/2027,492.76,1170.83,245.11,16,Cumulative
578,400271,Wardha-Nanded Via Yavatmal New BG Line,(Central Railway [CR] - II),Maharashtra,12/2017,04/2008,03/2028,03/2028,3445,3445,3002.93,50,Cumulative
579,611751,AURANGABAD-ANKAI - DOUBLING PROJECT 98.25 Km,(South Central Railway [SCR] - II),Maharashtra,05/2023,05/2023,03/2027,-,960.64,960.64,0,0.01,Cumulative
580,611975,Western Railway Vasai bypass double line between Naigaon  Juchandra 6 km,(PCE/WR),Maharashtra,NA,07/2023,03/2026,-,176,176,0,0,Cumulative
581,611976,Jogeshwari AT Development of JOS-AT as Trainset Maintenance Depot for energy efficient Vande Bharat Sleeper Trains,(PCE/WR),Maharashtra,NA,06/2023,10/2025,-,221,221,0,0,Cumulative
582,613015,Redevelopment of Chhatrapati Shivaji Maharaj Terminus [CSMT] and construction of associated infrastructure,(Ministry of Railways),Maharashtra,04/2023,07/2023,03/2027,-,1813,1813,569.08,13,Cumulative
583,617201,Gondia-Balharshah [Chanda Fort] Doubling [240 Km],(South East Central Railway),Maharashtra,04/2025,04/2025,04/2030,-,4373.04,4373.04,0,0,Cumulative
584,617215,Doubling between Parbhani  Parli Vaijanath stations  64.71 Km,(South Central Railway [SCR] - II),Maharashtra,12/2023,12/2023,03/2028,-,769.93,769.93,0,0,Cumulative
585,705300,Western Region Video Surveillance Project,(RCIL),Maharashtra,NA,04/2023,12/2023,-,227.59,227.59,0,0,Cumulative
586,705356,Ahmednagar - Beed - Parli - Vaijnath  New Broad Gauge Line Railway Project [261.3 km],(Central Railways),Maharashtra,01/1999,10/2002,03/2026,03/2026,2538.67,4957.27,4975.74,98,Cumulative
587,705357,Baramati Lonand New Line Project,(Central Railway [CR] - II),Maharashtra,03/2016,03/1999,03/2027,03/2027,138.48,1843.9,735.33,51,Cumulative
588,705479,Wadsa-Gadchiroli,(South East Central Railway),Maharashtra,05/2017,03/2012,03/2027,03/2027,1886,1886,925.28,50,Cumulative
589,705498,3rd Line Kalyan - Kasara [67.35 Kilometres],(Central Railway [CR] - II),Maharashtra,09/2015,09/2015,12/2026,12/2026,792.89,1395.79,899.47,51,Cumulative
590,705500,3rd Line Wardha - Sewagram - Nagpur,(Central Railway [CR] - II),Maharashtra,09/2015,05/2016,12/2025,12/2025,540.02,944.24,754.27,81,Cumulative
591,705502,3rd Line Wardha - Ballarshah [132 Kilometres],(Central Railway [CR] - II),Maharashtra,03/2016,12/2016,12/2025,02/2026,1384.72,2033.59,1655.88,68,Cumulative
592,705503,Pune - Miraj-Londa  [467 Kilometres],(Central Railway [CR] - II),Maharashtra,06/2016,06/2016,02/2025,08/2025,4027.53,4872.52,4833.04,85,Cumulative
593,705504,Doubling of Daund Manmad Line [247.6 km],(Central Railway [CR] - II),Maharashtra,10/2017,03/2017,12/2025,03/2026,2081.27,3267.06,2816.46,88,Cumulative
594,705505,4th Line Wardha - Nagpur [78.7 Kilometres],(Central Railway [CR] - II),Maharashtra,04/2017,05/2018,12/2025,02/2026,637.95,1341.28,983.16,81,Cumulative
595,705506,3rd Line Manmad - Jalgaon [160 Kilometres],(Central Railway [CR] - II),Maharashtra,NA,04/2018,12/2024,08/2025,1035.16,1558.75,1726.94,95,Cumulative
596,705735,Solapur-tuljapur-Osmanabad,(Railway),Maharashtra,NA,12/2023,03/2027,03/2028,904.92,3295.74,1127.14,12,Cumulative
597,705799,Nagpur- Nagbhir Railway Line Gauge Conversion Project,(MRIDC),Maharashtra,10/2019,04/2020,12/2025,12/2025,1400,1400,1472,80,Cumulative
598,706779,Mumbai Urban Transport Project [MUTP] - PHASE II,(Mumbai Rail Vikas Corporation Ltd.[MRVC]),Maharashtra,05/2008,04/2008,03/2014,12/2027,8087,8087,7364,87,Cumulative
599,706780,Mumbai Urban Transport Project [MUTP]  Phase-IIIA,(Mumbai Rail Vikas Corporation Ltd.[MRVC]),Maharashtra,04/2019,04/2019,12/2027,12/2027,33690,33690,2303.4,16,Cumulative
600,706781,Mumbai Urban Transport Project Phase-III,(Mumbai Rail Vikas Corporation Ltd.[MRVC]),Maharashtra,11/2016,12/2016,03/2022,12/2026,10947,10947,5152.7,60,Cumulative
601,709808,PACHORA-JAMNER WITH EXTENSION UPTO MALKAPUR NG TO BG,(CR),Maharashtra,NA,01/2022,08/2027,03/2028,955.39,2093.82,130.42,11,Cumulative
602,709809,KALYAN-MURBAD VIA ULHASNAGAR  [UMBRELLA WORK],(Central Railway [CR] - II),Maharashtra,NA,04/2023,03/2027,03/2027,726.46,836.12,9.29,0,Cumulative
603,705391,Jiribam-Imphal new line project,(Northeast Frontier Railway [NFR]),Manipur,03/2013,12/2007,12/2026,06/2029,14323,21885.9,15598.11,69,Cumulative
604,705491,Marikuppam - Kuppam New Line Project [23.70 Km],(South Western Railway [SWR] - II),"Multi-States (Andhra Pradesh, Karnataka)",04/2012,10/2018,06/2026,06/2026,297,297,123.38,15,Cumulative
605,705494,Rayadurg-Tumkur via Kalyandurg New Line [207 km],(South Western Railway [SWR] - II),"Multi-States (Andhra Pradesh, Karnataka)",03/2008,07/2010,09/2015,02/2028,2496,2496,1706.31,68,Cumulative
606,705610,"Renigunta, Wadi & Gooty Bypass Railway Project",(South Central Railway [SCR] - I),"Multi-States (Andhra Pradesh, Karnataka)",04/2016,04/2016,12/2025,12/2025,302,543,381,50,Cumulative
607,617212,Doubling between Mudkhed  Medchal & Mahbubnagar  Dhone section 417.88 Km,(South Central Railway [SCR] - II),"Multi-States (Andhra Pradesh, Maharashtra, Telangana)",08/2023,08/2023,03/2029,-,4686.09,4686.09,0,0,Cumulative
608,400253,Vizianagaram - Titlagarh 3rd line  [272 Km including By - pass line of 7.68 KM],(RVNL - II),"Multi-States (Andhra Pradesh, Odisha)",06/2016,11/2016,12/2026,12/2026,4803,6670,5722.01,89,Cumulative
609,705512,Doubling of Kottavalasa-Koraput Rail Line [189 KM],(East Coast Railway [ECoR] - II),"Multi-States (Andhra Pradesh, Odisha)",12/2015,01/2016,03/2022,03/2028,2500,2500,1987.17,70,Cumulative
610,705520,Vizianagaram-Sambhalpur 3rd Line Project,(RVNL),"Multi-States (Andhra Pradesh, Odisha)",NA,12/2016,03/2025,-,4803.16,4803.16,2979.23,0,Cumulative
611,616702,Malkangiri Pandurangapuram new railway line project,(Indian Railways),"Multi-States (Andhra Pradesh, Odisha, Telangana)",08/2024,01/2027,11/2031,-,3591.76,3591.76,0,0,Cumulative
612,400275,Tindivanam-Nagari New Line Project [184.5 km],(Southern Railway [SR] - II),"Multi-States (Andhra Pradesh, Tamil Nadu)",07/2008,10/2008,09/2016,03/2028,3631,3631,1113.53,18,Cumulative
613,616857,Doubling between Motumari  Vishnupuram - 88.81 Km and Rail over Rail - RoR at Motumari - 10.877 Km,(South Central Railway [SCR] - II),"Multi-States (Andhra Pradesh, Telangana)",NA,03/2025,03/2029,-,1595.55,1595.55,7.69,1,Cumulative
614,617211,Doubling of Guntur Bibinagar 239 Km,(South Central Railway [SCR] - II),"Multi-States (Andhra Pradesh, Telangana)",08/2023,08/2023,03/2029,-,2853.23,2853.23,43.88,1,Cumulative
615,617214,Rail Connectivity to Errupalem Amravati Namburu 57 Km,(South Central Railway [SCR] - II),"Multi-States (Andhra Pradesh, Telangana)",11/2024,11/2024,03/2027,-,2047.4,2047.4,0,0,Cumulative
616,705612,Kazipet-Vijayawada 3rd line with electrification [220 km],(South Central Railway [SCR] - II),"Multi-States (Andhra Pradesh, Telangana)",03/2013,08/2014,02/2025,12/2025,1953,3363,3073.74,91,Cumulative
617,705632,Vijayawada - Kazipet Byepass line,(South Central Railway [SCR] - II),"Multi-States (Andhra Pradesh, Telangana)",04/2016,04/2016,01/2025,12/2025,647,904,888.91,91,Cumulative
618,705401,Murkongselek-Pasighat,(Northeast Frontier Railway (NFR) - II),"Multi-States (Arunachal Pradesh, Assam)",NA,03/2012,03/2025,12/2025,435,1250,901,56,Cumulative
619,616701,Lumding Furkating Doubling Project 140 km,(Northeast Frontier Railway [NFR]),"Multi-States (Assam, Nagaland)",NA,01/2025,02/2028,-,2123.7,2123.7,13.74,0,Cumulative
620,705392,Dimapur [Dhansiri]-Sukhobi Kohima [Zubza] NL [82.5 Km],(Northeast Frontier Railway [NFR]),"Multi-States (Assam, Nagaland)",08/2015,02/2016,03/2025,12/2025,6663,6663,5312.26,80,Cumulative
621,705794,New Delhi- Howrah Speed Booster[160Kmph] Project,(PCE/NCR),"Multi-States (Bihar, Delhi, Jharkhand, Uttar Pradesh, West Bengal)",NA,09/2019,03/2024,-,6684.81,6684.81,127.03,0,Cumulative
622,400234,Third Railway Line between Patratu-Sonnagar [281 kms],(RVNL - II),"Multi-States (Bihar, Jharkhand)",11/2016,08/2018,03/2026,07/2026,8975,8975,4950,88,Cumulative
623,616699,Multi tracking of Son Nagar-Andal 374.53 rkm & 814.38 tkm,(East Central Railway [ECR] - I),"Multi-States (Bihar, Jharkhand)",08/2023,08/2023,03/2028,-,12333.57,12333.6,467.55,11,Cumulative
624,705375,Koderma-Tilaiya New Line,(East Central Railway [ECR] - I),"Multi-States (Bihar, Jharkhand)",11/2004,03/2002,02/2025,02/2026,1626,2020,2000.4,95,Cumulative
625,705385,Pirpainti - Jasidih [100.52 Km] New BG line,(Eastern Railway [ER] - I),"Multi-States (Bihar, Jharkhand)",03/2014,03/2022,03/2028,03/2028,2555,2555,767.04,48,Cumulative
626,611669,NER Provision of Automatic Block Signalling on Gorakhpur Cantt[Excl]  Chhapra Gramin & Burhwal Jn [Excl]  Sitapur Jn section of high density routes,(North Eastern Railway [NER]),"Multi-States (Bihar, Uttar Pradesh)",NA,06/2023,03/2027,-,380.47,380.47,24.53,0,Cumulative
627,617224,Gorakhpur-Valmikinagar Doubling project,(NER),"Multi-States (Bihar, Uttar Pradesh)",NA,03/2024,12/2027,-,1120,1120,204.59,20,Cumulative
628,705562,Chhapra-Ballia Patch Doubling,(North Eastern Railway [NER]),"Multi-States (Bihar, Uttar Pradesh)",03/2013,11/2015,02/2025,03/2025,963,1046,911.66,95,Cumulative
629,706844,Katihar - Kumedpur Doubling Line Project,(GM/C/ NFR),"Multi-States (Bihar, West Bengal)",08/2022,,08/2027,08/2027,942,942,356,45,Cumulative
630,705617,Rajnandgaon - Nagpur [Kalumna] Third Railway Line [228.30 km],(South East Central Railway [SECR] - II),"Multi-States (Chhattisgarh, Maharashtra)",09/2016,12/2016,12/2024,06/2026,3545,3545,3428.26,95,Cumulative
631,705511,Jagdalpur-Koraput,(East Coast Railway [ECoR] - II),"Multi-States (Chhattisgarh, Odisha)",12/2015,03/2016,03/2024,12/2026,1547,1547,1323.05,90,Cumulative
632,705616,Jharsuguda-Bilaspur Fourth Railway Line [206 km],(SECR),"Multi-States (Chhattisgarh, Odisha)",09/2016,09/2016,10/2024,12/2025,2140,2979,2143.64,89,Cumulative
633,705728,Mumbai-Ahmedabad High Speed Rail Project- 508 km,(National High Speed Rail Corporation [NHSRC]),"Multi-States (Dadra & Nagar Haveli and Daman & Diu, Gujarat, Maharashtra)",03/2015,09/2017,08/2027,12/2029,108000,108000,79918.89,53,Cumulative
634,705793,New Delhi- Mumbai Speed Booster[160Kmph] Project,(PCE/WR),"Multi-States (Delhi, Gujarat, Madhya Pradesh, Maharashtra, Rajasthan)",NA,09/2019,03/2024,-,6806.44,6806.44,135.65,0,Cumulative
635,705650,Hospet - Tinaighat - Vasco Rail Doubling Project,(RVNL - II),"Multi-States (Goa, Karnataka)",03/2010,07/2012,03/2027,12/2027,5060,5060,5007.82,86,Cumulative
636,706950,Hospet-Hubli-Vasco da Gama Line Electrification Project,(RVNL),"Multi-States (Goa, Karnataka)",NA,05/2018,03/2023,03/2024,744.49,1122.62,969.05,95,Cumulative
637,705237,Western Dedicated Freight Corridor,(DFCCIL),"Multi-States (Gujarat, Haryana, Maharashtra, Rajasthan, Uttar Pradesh)",02/2008,01/2012,03/2022,12/2025,51101,124005,124623,96,Cumulative
638,705453,"New line Dahod-Indore via Sardarpur, Jabuwa and Dhar",(Western Railway [WR] - II),"Multi-States (Gujarat, Madhya Pradesh)",06/2012,06/2012,02/2027,02/2027,456.07,1873.1,3412.33,46,Cumulative
639,705454,Chhota Udaipur - Dhar New Line Project [157 km],(Western Railway [WR] - II),"Multi-States (Gujarat, Madhya Pradesh)",11/2008,01/2014,12/2025,12/2025,1794,1794,1804.05,80,Cumulative
640,611452,MUMBAI CENTRAL VIRAR VADODARA AHMEDABAAD TRAIN PROTECTION SYSTEM 500 RKM,(Western Railway),"Multi-States (Gujarat, Maharashtra)",09/2019,03/2023,12/2025,06/2025,311,311,208,92,Cumulative
641,400022,Taranga Hill-Abu Road via Ambaji,(North Western Railway [NWR]),"Multi-States (Gujarat, Rajasthan)",07/2022,07/2022,07/2030,07/2030,2798,2798,1915.38,15,Cumulative
642,616842,LUNI- SAMDARI- BHILDI DOUBLING,(North Western Railway [NWR]),"Multi-States (Gujarat, Rajasthan)",02/2024,02/2024,07/2027,-,3085.59,3085.59,171.32,7,Cumulative
643,705424,Chandigarh-Baddi New Rail Line- 36 km,(Northen Railway [NR]),"Multi-States (Haryana, Himachal Pradesh)",02/2018,02/2018,12/2026,12/2026,1540,1540.13,506.73,31,Cumulative
644,611861,Rewari - Kathuwas Doubling Project [27.72 Km],(North Western Railway [NWR]),"Multi-States (Haryana, Rajasthan)",02/2023,12/2022,06/2027,06/2027,352,352,246.11,63,Cumulative
645,705410,Nangal Dam-Talwara New Broad Gauge Line [84 KM] and Taking Over Siding Mukerian-Talwara [29 KM],(Northen Railway [NR]),"Multi-States (Himachal Pradesh, Punjab)",03/1983,05/1985,12/2025,01/2027,2018,2018,2053.9,45,Cumulative
646,705428,Bhanupalli-Bilaspur-Beri New Railway Line Project,(RVNL - II),"Multi-States (Himachal Pradesh, Punjab)",03/2009,04/2015,12/2026,12/2027,13447,13447,6805.81,60,Cumulative
647,705628,Doubling of Hatia [Ranchi]-Bondamunda Rail Line - 159 km,(South Eastern Railway - JH),"Multi-States (Jharkhand, Odisha)",03/2016,02/2017,06/2025,06/2026,3029,3029,2470.12,85,Cumulative
648,616588,Buramara-Chakulia new line [59.96 km],(South Eastern Railway [SER] - I),"Multi-States (Jharkhand, Odisha, West Bengal)",08/2024,12/2024,12/2029,-,1459.13,1459.13,2.11,0,Cumulative
649,616227,Chandil - Anara - Damodar - 3rd line [121.26 km],(CAO/C/SER),"Multi-States (Jharkhand, West Bengal)",NA,07/2025,09/2029,-,1932.01,1932.01,0.03,0,Cumulative
650,705668,KHARAGPUR-ADITYAPUR THIRD RAIL LINE- 132 KM,(RVNL - II),"Multi-States (Jharkhand, West Bengal)",09/2016,01/2018,03/2025,12/2025,3250,3250,3176.46,97,Cumulative
651,705662,Hotgi-Kudgi-Gadag Doubling Project,(South Western Railway [SWR] - II),"Multi-States (Karnataka, Maharashtra)",04/2014,01/2016,12/2024,03/2026,1878,2459,2642.04,92,Cumulative
652,703586,Baiyyappanahalli - Hosur Doubling Project [48 km],(Karnataka Rail Infrastructure Development Company Limited [K-RIDE]),"Multi-States (Karnataka, Tamil Nadu)",04/2019,02/2019,12/2024,01/2026,499,499,595,97,Cumulative
653,705635,Trivandrum- Kanyakumari,(Southern Railway (SR) - I),"Multi-States (Kerala, Tamil Nadu)",08/2017,03/2016,03/2024,12/2027,1432,3785,2451,46,Cumulative
654,705457,Ratlam-Mhow-Khandwa-Akola Gauge Conversion,(Western Railway [WR] - II),"Multi-States (Madhya Pradesh, Maharashtra)",04/2008,03/2010,03/2027,09/2028,1656.25,5735.88,4428.77,80,Cumulative
655,705507,Itarsi - Nagpur Third Railway Line [280 km],(Central Railway [CR] - II),"Multi-States (Madhya Pradesh, Maharashtra)",09/2016,09/2016,03/2027,03/2027,2449.91,2506.68,1843.76,51,Cumulative
656,705419,Gwalior - Seopurkala with extension to Kota [Gauge Conversion],(North Central Railway),"Multi-States (Madhya Pradesh, Rajasthan)",03/2011,07/2018,03/2025,02/2026,2913,2913,2097.51,78,Cumulative
657,705481,Ramganjmandi-Bhopal New Line Project [262 km],(West Central Railway [WCR] - II),"Multi-States (Madhya Pradesh, Rajasthan)",03/2001,10/2004,12/2025,12/2027,3032,5073,3621.79,70,Cumulative
658,705764,Nimach-Badi Sadri  New Rail Line Project,(Western Railway [WR] - II),"Multi-States (Madhya Pradesh, Rajasthan)",04/2017,09/2021,03/2026,06/2026,495,825,79.55,53,Cumulative
659,705667,Mathura-Jhansi Third Railway Line [274 Km],(RVNL - II),"Multi-States (Madhya Pradesh, Rajasthan, Uttar Pradesh)",12/2015,03/2018,12/2024,12/2026,5961,5961,4928.62,94,Cumulative
660,705598,Jhansi - Bina Third Railway Line [153 Km],(CAO/C/NCR),"Multi-States (Madhya Pradesh, Uttar Pradesh)",09/2016,03/2018,03/2022,03/2026,2002,2002,1795.86,93,Cumulative
661,705608,Jhansi-Khairar-Manikpur & Khirar-Bhimsen,(North Central Railway),"Multi-States (Madhya Pradesh, Uttar Pradesh)",03/2018,03/2017,03/2026,03/2026,4330,4330,2184.56,55,Cumulative
662,705613,Third Line [new] between Kazipet - Balharshah  with electrification [201.04 Km],(South Central Railway [SCR] - II),"Multi-States (Maharashtra, Telangana)",09/2016,10/2016,01/2025,11/2025,2595,3071,3223.67,93,Cumulative
663,705629,Narayangarh-Bhadrak 3rd line,(South Eastern Railway [SER] - I),"Multi-States (Odisha, West Bengal)",03/2019,03/2017,12/2025,06/2026,2400,2400,2236.9,65,Cumulative
664,400223,Nagapattinam-Tiruturaipundi and Karaikal-Peralam New Line,(Southern Railway [SR] - II),"Multi-States (Puducherry, Tamil Nadu)",07/2008,01/2019,03/2026,03/2027,713,981,598.38,80,Cumulative
665,705432,Sivok-Rangpo New Rail Line,(Indian Railway Construction International Limited [IRCON]),"Multi-States (Sikkim, West Bengal)",10/2009,05/2010,05/2015,12/2027,7877,12133,9039.91,84,Cumulative
666,602797,"Sainthia, Sitarampur, Mughalsarai, Allahabad & Etawah - Bypass Line Project",(Eastern Railway [ER] - I),"Multi-States (Uttar Pradesh, West Bengal)",08/2017,12/2017,03/2027,03/2027,461.64,461.64,186.03,7,Cumulative
667,400045,Proposed 6 nos Road Over Bridge [ROB] at different locations under MCL Talcher Under Deposit Scheme.,(East Coast Railway [ECoR] - II),Odisha,08/2022,07/2022,03/2025,01/2025,168.32,168.32,69.85,82,Cumulative
668,400232,Brundamal-Jharsuguda- flyover connection for joining downline,(East Coast Railway [ECoR] - II),Odisha,01/2014,01/2014,12/2026,12/2026,297,297,193.22,30,Cumulative
669,612834,3rd & 4th line between Sarla - Sason [8 km] [PB 73/2023-24/NR],(East Coast Railway [ECoR] - II),Odisha,04/2023,04/2023,12/2025,-,252,252,79.55,45,Cumulative
670,616586,Bangriposi-Gorumahisani new line [ 85.60 km ],(CAO/C/SER),Odisha,08/2024,09/2025,12/2029,-,2269.49,2269.49,2.31,0,Cumulative
671,616587,Badampahar-Kendujhargarh new line [82.06 km],(CAO/C/SER),Odisha,08/2024,09/2025,12/2029,-,1875.72,1875.72,0.53,0,Cumulative
672,616694,Flyover between Siju and Paradeep coaching Yard to avoid Surface crossing of trains,(East Coast Railway [ECoR] - II),Odisha,04/2023,10/2025,07/2028,-,200.77,200.77,0,0,Cumulative
673,616695,Paradeep - Badabandha 3rd & 4th Line / 18.51kms,(East Coast Railway [ECoR] - II),Odisha,08/2023,04/2025,11/2028,-,300.15,300.15,0.01,0,Cumulative
674,705358,Khurda-Bolangir New Broad Gauge Rail Link [301km],(East Coast Railway [ECoR] - II),Odisha,03/1994,03/2001,12/2026,12/2026,3792,5089,5027.62,89,Cumulative
675,705359,Talcher-Bimlagarh New Railway Line,(East Coast Railway [ECoR] - II),Odisha,03/2004,12/2004,03/2025,03/2027,1928,1928,1934.28,48,Cumulative
676,705510,Bhadrak-Nergundi Third Line,(East Coast Railway [ECoR] - II),Odisha,10/2015,04/2015,11/2024,01/2026,1284,1284,1298,80,Cumulative
677,705513,Koraput - Singapur Railway Doubling,(East Coast Railway [ECoR] - II),Odisha,12/2015,12/2015,12/2027,03/2028,2362,2362,1798.71,68,Cumulative
678,705514,Jarapada- Budhapank with flyover at Talcher road 3rd and 4th Line,(East Coast Railway [ECoR] - II),Odisha,NA,12/2015,11/2018,03/2026,1000,810.02,401.61,36,Cumulative
679,705515,3rd & 4th Railway Line Project from Salegaon to Budhapank via Rajathgarh.,(East Coast Railway [ECoR] - II),Odisha,07/2013,12/2015,03/2026,03/2026,1173,2092,1971,80,Cumulative
680,705741,Jeypore-Navarangpur New  Rail Line Project,(East Coast Railway [ECoR] - II),Odisha,07/2017,04/2023,07/2028,12/2029,748,748,10.56,1,Cumulative
681,705742,Jeypore-Malkanagiri New Railway Line Project,(East Coast Railway [ECoR] - II),Odisha,02/2018,12/2023,07/2033,07/2033,2344,2344,225.84,8,Cumulative
682,705743,Talcher-Angul  New Line with Y-Connection at Talcher,(CAO/C/ECoR),Odisha,07/2018,,05/2027,05/2028,495,495,29.5,1,Cumulative
683,705767,Baghuapal Flyover  Construction Project,(CAO/C/ECoR),Odisha,08/2019,10/2022,03/2028,03/2028,257.97,258,0.83,0,Cumulative
684,706898,Khurda Road - Balangir Electrification of Railway Track Project,(Ministry of Railways),Odisha,NA,09/2019,03/2021,-,267.61,267.61,0,0,Cumulative
685,709810,KODINGAMALI BAUXITE MINES TO SINGARAM RAILWAY STATION,(Indian Railway),Odisha,08/2022,01/2026,08/2027,08/2027,190.9,190.9,0,0,Cumulative
686,709811,GANDHAMARDAN IRON ORE MINES TO GOALDIH STATION/12.76kms,(East Coast Railway [ECoR] - II),Odisha,09/2022,05/2025,09/2027,09/2027,190,190,0,0,Cumulative
687,611980,Junagarh Visavadar 42 Kms,(Railway),Offshore,06/2022,02/2023,09/2028,09/2028,492.83,492.83,3,1,Cumulative
688,705362,"Jaynagar-Bijalpura, incl. extn. Bet, Bijalpura-Bardibas [Nepal]",(East Central Railway [ECR] - I),Offshore,08/2015,03/2011,03/2022,03/2026,819,819,580.6,75,Cumulative
689,705783,Ludhiana- Killa Raipur Railway  Doubling Project,(Railway),Punjab,03/2019,12/2022,03/2025,03/2026,237.64,237.64,118,55,Cumulative
690,611614,Dedicated Test Track for RDSO Phase II,(North Western Railway [NWR]),Rajasthan,11/2021,11/2021,11/2026,11/2026,819.48,967.06,471,86,Cumulative
